"","Treatment","value","test","site"
"1","Prairie Strips",1.29411764705882,"Links per Species","gut"
"2","Prairie Strips",1.21052631578947,"Links per Species","gut"
"3","Prairie Strips",0.923076923076923,"Links per Species","sme"
"4","Prairie Strips",1.71428571428571,"Links per Species","sme"
"5","Prairie Strips",1.22222222222222,"Links per Species","smi"
"6","Prairie Strips",0.733333333333333,"Links per Species","smi"
"7","Prairie Strips",1.16666666666667,"Links per Species","sto"
"8","Prairie Strips",1.17647058823529,"Links per Species","sto"
"9","Prairie Strips",1.36842105263158,"Links per Species","who"
"10","Prairie Strips",1,"Links per Species","who"
"11","Prairie Strips",1.33333333333333,"Links per Species","gut"
"12","Prairie Strips",1.3125,"Links per Species","gut"
"13","Prairie Strips",1,"Links per Species","sme"
"14","Prairie Strips",1.64285714285714,"Links per Species","sme"
"15","Prairie Strips",0.846153846153846,"Links per Species","smi"
"16","Prairie Strips",0.857142857142857,"Links per Species","smi"
"17","Prairie Strips",1,"Links per Species","sto"
"18","Prairie Strips",1,"Links per Species","sto"
"19","Prairie Strips",0.545454545454545,"Links per Species","who"
"20","Prairie Strips",1.7,"Links per Species","who"
"21","Prairie Strips",1.05555555555556,"Links per Species","gut"
"22","Prairie Strips",0.928571428571429,"Links per Species","gut"
"23","Prairie Strips",0.944444444444444,"Links per Species","sme"
"24","Prairie Strips",1.17647058823529,"Links per Species","sme"
"25","Prairie Strips",1.14285714285714,"Links per Species","smi"
"26","Prairie Strips",1.31578947368421,"Links per Species","smi"
"27","Prairie Strips",0.5,"Links per Species","sto"
"28","Prairie Strips",0.941176470588235,"Links per Species","sto"
"29","Prairie Strips",1.2,"Links per Species","who"
"30","Prairie Strips",1.5,"Links per Species","who"
"31","Prairie Strips",1,"Links per Species","gut"
"32","Prairie Strips",1,"Links per Species","gut"
"33","Prairie Strips",0.947368421052632,"Links per Species","sme"
"34","Prairie Strips",1.10526315789474,"Links per Species","sme"
"35","Prairie Strips",1.23529411764706,"Links per Species","smi"
"36","Prairie Strips",1.26315789473684,"Links per Species","smi"
"37","Prairie Strips",1.05882352941176,"Links per Species","sto"
"38","Prairie Strips",1.13333333333333,"Links per Species","sto"
"39","Prairie Strips",1,"Links per Species","who"
"40","Prairie Strips",0.875,"Links per Species","who"
"41","Prairie Strips",1.07692307692308,"Links per Species","gut"
"42","Prairie Strips",1.29411764705882,"Links per Species","gut"
"43","Prairie Strips",0.928571428571429,"Links per Species","sme"
"44","Prairie Strips",0.9375,"Links per Species","sme"
"45","Prairie Strips",1.15789473684211,"Links per Species","smi"
"46","Prairie Strips",0.9375,"Links per Species","smi"
"47","Prairie Strips",0.615384615384615,"Links per Species","sto"
"48","Prairie Strips",1,"Links per Species","sto"
"49","Prairie Strips",1.21052631578947,"Links per Species","who"
"50","Prairie Strips",1.125,"Links per Species","who"
"51","Prairie Strips",1.15,"Links per Species","gut"
"52","Prairie Strips",1,"Links per Species","gut"
"53","Prairie Strips",1.17391304347826,"Links per Species","sme"
"54","Prairie Strips",1.28571428571429,"Links per Species","sme"
"55","Prairie Strips",1.2,"Links per Species","smi"
"56","Prairie Strips",1.47619047619048,"Links per Species","smi"
"57","Prairie Strips",0.75,"Links per Species","sto"
"58","Prairie Strips",0.9375,"Links per Species","sto"
"59","Prairie Strips",1,"Links per Species","who"
"60","Prairie Strips",0.727272727272727,"Links per Species","who"
"61","Prairie Strips",1,"Links per Species","gut"
"62","Prairie Strips",0.75,"Links per Species","gut"
"63","Prairie Strips",1.42857142857143,"Links per Species","sme"
"64","Prairie Strips",0.789473684210526,"Links per Species","sme"
"65","Prairie Strips",1.05555555555556,"Links per Species","smi"
"66","Prairie Strips",0.8125,"Links per Species","smi"
"67","Prairie Strips",0.625,"Links per Species","sto"
