final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side
KEB_00103,halictus ligatus,r,7/1/2019,1,1,2,n,l
KEB_00103,halictus ligatus,r,7/1/2019,1,2,24,n,l
KEB_00103,halictus ligatus,r,7/1/2019,2,1,46,n,r
KEB_00103,halictus ligatus,r,7/1/2019,2,2,68,n,r
KEB_00104,halictus ligatus,r,7/1/2019,1,1,90,y,l
KEB_00104,halictus ligatus,r,7/1/2019,1,2,112,y,l
KEB_00104,halictus ligatus,r,7/1/2019,2,1,134,n,r
KEB_00104,halictus ligatus,r,7/1/2019,2,2,156,n,r
KEB_00115,halictus ligatus,r,7/1/2019,2,1,222,n,r
KEB_00115,halictus ligatus,r,7/1/2019,2,2,244,n,r
KEB_00122,halictus ligatus,r,7/2/2019,1,1,266,y,l
KEB_00122,halictus ligatus,r,7/2/2019,1,2,288,y,l
KEB_00122,halictus ligatus,r,7/2/2019,2,1,310,n,r
KEB_00122,halictus ligatus,r,7/2/2019,2,2,332,n,r
KEB_00149,nomia universitalis,r,7/2/2019,1,1,354,y,l
KEB_00149,nomia universitalis,r,7/2/2019,1,2,376,y,l
KEB_00149,nomia universitalis,r,7/2/2019,2,1,398,n,r
KEB_00149,nomia universitalis,r,7/2/2019,2,2,420,n,r
KEB_00168,nomia universitalis,c,7/2/2019,1,1,442,y,l
KEB_00168,nomia universitalis,c,7/2/2019,1,2,464,y,l
KEB_00169,nomia universitalis,c,7/2/2019,1,1,530,y,l
KEB_00169,nomia universitalis,c,7/2/2019,1,2,552,y,l
KEB_00169,nomia universitalis,c,7/2/2019,2,1,574,n,r
KEB_00169,nomia universitalis,c,7/2/2019,2,2,596,n,r
KEB_00170,nomia universitalis,c,7/2/2019,1,1,618,y,l
KEB_00170,nomia universitalis,c,7/2/2019,1,2,640,y,l
KEB_00170,nomia universitalis,c,7/2/2019,2,1,662,y,r
KEB_00170,nomia universitalis,c,7/2/2019,2,2,684,y,r
KEB_00172,nomia universitalis,c,7/2/2019,1,1,706,n,l
KEB_00172,nomia universitalis,c,7/2/2019,1,2,728,n,l
KEB_00172,nomia universitalis,c,7/2/2019,2,1,750,n,r
KEB_00172,nomia universitalis,c,7/2/2019,2,2,772,n,r
KEB_00173,nomia universitalis,c,7/2/2019,1,1,794,y,l
KEB_00173,nomia universitalis,c,7/2/2019,1,2,816,y,l
KEB_00173,nomia universitalis,c,7/2/2019,2,1,838,y,r
KEB_00173,nomia universitalis,c,7/2/2019,2,2,860,y,r
KEB_00174,nomia universitalis,c,7/2/2019,1,1,882,y,l
KEB_00174,nomia universitalis,c,7/2/2019,1,2,904,y,l
KEB_00174,nomia universitalis,c,7/2/2019,2,1,926,n,r
KEB_00174,nomia universitalis,c,7/2/2019,2,2,948,n,r
KEB_00195,nomia universitalis,r,7/11/2019,1,1,970,y,l
KEB_00195,nomia universitalis,r,7/11/2019,1,2,992,y,l
KEB_00195,nomia universitalis,r,7/11/2019,2,1,1014,n,r
KEB_00195,nomia universitalis,r,7/11/2019,2,2,1036,n,r
KEB_00196,nomia universitalis,r,7/11/2019,1,1,1058,y,l
KEB_00196,nomia universitalis,r,7/11/2019,1,2,1080,y,l
KEB_00196,nomia universitalis,r,7/11/2019,2,1,1102,n,r
KEB_00196,nomia universitalis,r,7/11/2019,2,2,1124,n,r
KEB_00197,nomia universitalis,r,7/11/2019,1,1,1146,y,l
KEB_00197,nomia universitalis,r,7/11/2019,1,2,1168,y,l
KEB_00197,nomia universitalis,r,7/11/2019,2,1,1190,n,r
KEB_00197,nomia universitalis,r,7/11/2019,2,2,1212,n,r
KEB_00198,nomia universitalis,r,7/11/2019,1,1,1234,y,l
KEB_00198,nomia universitalis,r,7/11/2019,1,2,1256,y,l
KEB_00198,nomia universitalis,r,7/11/2019,2,1,1278,n,r
KEB_00198,nomia universitalis,r,7/11/2019,2,2,1300,n,r
KEB_00200,nomia universitalis,r,7/11/2019,1,1,1322,y,l
KEB_00200,nomia universitalis,r,7/11/2019,1,2,1344,y,l
KEB_00200,nomia universitalis,r,7/11/2019,2,1,1366,y,r
KEB_00200,nomia universitalis,r,7/11/2019,2,2,1388,y,r
KEB_00208,nomia universitalis,r,7/11/2019,1,1,1410,y,l
KEB_00208,nomia universitalis,r,7/11/2019,1,2,1432,y,l
KEB_00208,nomia universitalis,r,7/11/2019,2,1,1454,n,r
KEB_00208,nomia universitalis,r,7/11/2019,2,2,1476,n,r
KEB_00209,nomia universitalis,r,7/11/2019,1,1,1498,n,l
KEB_00209,nomia universitalis,r,7/11/2019,1,2,1520,n,l
KEB_00209,nomia universitalis,r,7/11/2019,2,1,1542,n,r
KEB_00209,nomia universitalis,r,7/11/2019,2,2,1564,n,r
KEB_00211,nomia universitalis,r,7/11/2019,1,1,1586,y,l
KEB_00211,nomia universitalis,r,7/11/2019,1,2,1608,y,l
KEB_00211,nomia universitalis,r,7/11/2019,2,1,1630,n,r
KEB_00211,nomia universitalis,r,7/11/2019,2,2,1652,n,r
KEB_00212,nomia universitalis,r,7/11/2019,1,1,1674,y,l
KEB_00212,nomia universitalis,r,7/11/2019,1,2,1696,y,l
KEB_00212,nomia universitalis,r,7/11/2019,2,1,1718,y,r
KEB_00212,nomia universitalis,r,7/11/2019,2,2,1740,y,r
KEB_00213,nomia universitalis,r,7/11/2019,1,1,1762,y,l
KEB_00213,nomia universitalis,r,7/11/2019,1,2,1784,y,l
KEB_00213,nomia universitalis,r,7/11/2019,2,1,1806,n,r
KEB_00213,nomia universitalis,r,7/11/2019,2,2,1828,n,r
KEB_00214,nomia universitalis,r,7/11/2019,1,1,1850,y,l
KEB_00214,nomia universitalis,r,7/11/2019,1,2,1872,y,l
KEB_00215,nomia universitalis,r,7/11/2019,1,1,1938,n,l
KEB_00215,nomia universitalis,r,7/11/2019,1,2,1960,n,l
KEB_00215,nomia universitalis,r,7/11/2019,2,1,1982,n,r
KEB_00215,nomia universitalis,r,7/11/2019,2,2,2004,n,r
KEB_00216,nomia universitalis,r,7/11/2019,1,1,2026,y,l
KEB_00216,nomia universitalis,r,7/11/2019,1,2,2048,y,l
KEB_00216,nomia universitalis,r,7/11/2019,2,1,2070,n,r
KEB_00216,nomia universitalis,r,7/11/2019,2,2,2092,n,r
KEB_00251,halictus ligatus,r,7/12/2019,1,1,2202,y,l
KEB_00251,halictus ligatus,r,7/12/2019,1,2,2224,y,l
KEB_00251,halictus ligatus,r,7/12/2019,2,1,2246,y,r
KEB_00251,halictus ligatus,r,7/12/2019,2,2,2268,y,r
KEB_00260,halictus ligatus,r,7/12/2019,1,1,2290,y,l
KEB_00260,halictus ligatus,r,7/12/2019,1,2,2312,y,l
KEB_00260,halictus ligatus,r,7/12/2019,2,1,2334,n,r
KEB_00260,halictus ligatus,r,7/12/2019,2,2,2356,n,r
KEB_00261,halictus ligatus,r,7/12/2019,1,1,2378,y,l
KEB_00261,halictus ligatus,r,7/12/2019,1,2,2400,y,l
KEB_00261,halictus ligatus,r,7/12/2019,2,1,2422,n,r
KEB_00261,halictus ligatus,r,7/12/2019,2,2,2444,n,r
KEB_00267,nomia universitalis,r,7/12/2019,2,1,2510,n,r
KEB_00267,nomia universitalis,r,7/12/2019,2,2,2532,n,r
KEB_00268,nomia universitalis,r,7/12/2019,1,1,2554,n,l
KEB_00268,nomia universitalis,r,7/12/2019,1,2,2576,n,l
KEB_00268,nomia universitalis,r,7/12/2019,2,1,2598,y,r
KEB_00268,nomia universitalis,r,7/12/2019,2,2,2620,y,r
KEB_00269,nomia universitalis,r,7/12/2019,1,1,2642,n,l
KEB_00269,nomia universitalis,r,7/12/2019,1,2,2664,n,l
KEB_00269,nomia universitalis,r,7/12/2019,2,1,2686,n,r
KEB_00269,nomia universitalis,r,7/12/2019,2,2,2708,n,r
KEB_00270,nomia universitalis,r,7/12/2019,1,1,2730,n,l
KEB_00270,nomia universitalis,r,7/12/2019,1,2,2752,n,l
KEB_00270,nomia universitalis,r,7/12/2019,2,1,2774,y,r
KEB_00270,nomia universitalis,r,7/12/2019,2,2,2796,y,r
KEB_00271,nomia universitalis,r,7/12/2019,1,1,2818,y,l
KEB_00271,nomia universitalis,r,7/12/2019,1,2,2840,y,l
KEB_00271,nomia universitalis,r,7/12/2019,2,1,2862,n,r
KEB_00271,nomia universitalis,r,7/12/2019,2,2,2884,n,r
KEB_00272,nomia universitalis,r,7/12/2019,1,1,2906,y,l
KEB_00272,nomia universitalis,r,7/12/2019,1,2,2928,y,l
KEB_00272,nomia universitalis,r,7/12/2019,2,1,2950,n,r
KEB_00272,nomia universitalis,r,7/12/2019,2,2,2972,n,r
KEB_00273,nomia universitalis,r,7/12/2019,1,1,2994,y,l
KEB_00273,nomia universitalis,r,7/12/2019,1,2,3016,y,l
KEB_00273,nomia universitalis,r,7/12/2019,2,1,3038,y,r
KEB_00273,nomia universitalis,r,7/12/2019,2,2,3060,y,r
KEB_00284,nomia universitalis,r,7/15/2019,1,1,3082,y,l
KEB_00284,nomia universitalis,r,7/15/2019,1,2,3104,y,l
KEB_00284,nomia universitalis,r,7/15/2019,2,1,3126,n,r
KEB_00284,nomia universitalis,r,7/15/2019,2,2,3148,n,r
KEB_00288,nomia universitalis,r,7/15/2019,1,1,3170,y,l
KEB_00288,nomia universitalis,r,7/15/2019,1,2,3192,y,l
KEB_00288,nomia universitalis,r,7/15/2019,2,1,3214,y,r
KEB_00288,nomia universitalis,r,7/15/2019,2,2,3236,y,r
KEB_00303,halictus ligatus,r,7/15/2019,1,1,3258,y,l
KEB_00303,halictus ligatus,r,7/15/2019,1,2,3280,y,l
KEB_00303,halictus ligatus,r,7/15/2019,2,1,3302,n,r
KEB_00303,halictus ligatus,r,7/15/2019,2,2,3324,n,r
KEB_00304,halictus ligatus,r,7/15/2019,1,1,3346,y,l
KEB_00304,halictus ligatus,r,7/15/2019,1,2,3368,y,l
KEB_00304,halictus ligatus,r,7/15/2019,2,1,3390,y,r
KEB_00304,halictus ligatus,r,7/15/2019,2,2,3412,y,r
KEB_00305,halictus ligatus,r,7/15/2019,1,1,3434,n,l
KEB_00305,halictus ligatus,r,7/15/2019,1,2,3456,n,l
KEB_00305,halictus ligatus,r,7/15/2019,2,1,3478,y,r
KEB_00305,halictus ligatus,r,7/15/2019,2,2,3500,y,r
KEB_00340,halictus ligatus,r,7/16/2019,1,1,3522,y,l
KEB_00340,halictus ligatus,r,7/16/2019,1,2,3544,y,l
KEB_00340,halictus ligatus,r,7/16/2019,2,1,3566,n,r
KEB_00340,halictus ligatus,r,7/16/2019,2,2,3588,n,r
KEB_00353,halictus ligatus,r,7/17/2019,1,1,3610,n,l
KEB_00353,halictus ligatus,r,7/17/2019,1,2,3632,n,l
KEB_00353,halictus ligatus,r,7/17/2019,2,1,3654,y,r
KEB_00353,halictus ligatus,r,7/17/2019,2,2,3676,y,r
KEB_00354,halictus ligatus,r,7/17/2019,1,1,3698,y,l
KEB_00354,halictus ligatus,r,7/17/2019,1,2,3720,y,l
KEB_00354,halictus ligatus,r,7/17/2019,2,1,3742,y,r
KEB_00354,halictus ligatus,r,7/17/2019,2,2,3764,y,r
KEB_00355,halictus ligatus,r,7/17/2019,1,1,3786,n,l
KEB_00355,halictus ligatus,r,7/17/2019,1,2,3808,n,l
KEB_00355,halictus ligatus,r,7/17/2019,2,1,3830,y,r
KEB_00355,halictus ligatus,r,7/17/2019,2,2,3852,y,r
