rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
431,KEB_00725,725,bombus auricomus,r,8/13/2019,1,1,0.026,l,y,4.276285
432,KEB_00725,725,bombus auricomus,r,8/13/2019,1,2,0.026,l,y,4.276285
433,KEB_00725,725,bombus auricomus,r,8/13/2019,2,1,0.026,r,y,4.276285
434,KEB_00725,725,bombus auricomus,r,8/13/2019,2,2,0.026,r,y,4.276285
435,KEB_00732,732,bombus auricomus,r,8/13/2019,1,1,0.026,l,y,4.42442
436,KEB_00732,732,bombus auricomus,r,8/13/2019,1,2,0.026,l,y,4.42442
437,KEB_00732,732,bombus auricomus,r,8/13/2019,2,1,0.026,r,n,4.42442
438,KEB_00732,732,bombus auricomus,r,8/13/2019,2,2,0.026,r,n,4.42442
439,KEB_00772,772,bombus auricomus,c,8/14/2019,1,1,0.026,l,y,4.24645
440,KEB_00772,772,bombus auricomus,c,8/14/2019,1,2,0.026,l,y,4.24645
441,KEB_00772,772,bombus auricomus,c,8/14/2019,2,1,0.026,r,n,4.24645
442,KEB_00772,772,bombus auricomus,c,8/14/2019,2,2,0.026,r,n,4.24645
443,KEB_00775,775,bombus auricomus,c,8/14/2019,1,1,0.026,l,y,4.309045
444,KEB_00775,775,bombus auricomus,c,8/14/2019,1,2,0.026,l,y,4.309045
445,KEB_00775,775,bombus auricomus,c,8/14/2019,2,1,0.026,r,n,4.309045
446,KEB_00775,775,bombus auricomus,c,8/14/2019,2,2,0.026,r,n,4.309045
447,KEB_00821,821,bombus auricomus,r,8/16/2019,1,1,0.026,l,y,4.4304
448,KEB_00821,821,bombus auricomus,r,8/16/2019,1,2,0.026,l,y,4.4304
449,KEB_00821,821,bombus auricomus,r,8/16/2019,2,1,0.026,r,n,4.4304
450,KEB_00821,821,bombus auricomus,r,8/16/2019,2,2,0.026,r,n,4.4304
451,KEB_00863,863,bombus auricomus,r,8/16/2019,1,1,0.026,l,y,4.04144
452,KEB_00863,863,bombus auricomus,r,8/16/2019,1,2,0.026,l,y,4.04144
453,KEB_00863,863,bombus auricomus,r,8/16/2019,2,1,0.026,r,n,4.04144
454,KEB_00863,863,bombus auricomus,r,8/16/2019,2,2,0.026,r,n,4.04144
455,KEB_00873,873,bombus auricomus,c,8/29/2019,1,1,0.026,l,y,4.20654
456,KEB_00873,873,bombus auricomus,c,8/29/2019,1,2,0.026,l,y,4.20654
457,KEB_00873,873,bombus auricomus,c,8/29/2019,2,1,0.026,r,n,4.20654
458,KEB_00873,873,bombus auricomus,c,8/29/2019,2,2,0.026,r,n,4.20654
459,KEB_00933,933,bombus auricomus,r,9/2/2019,1,1,0.026,l,y,4.485823333
460,KEB_00933,933,bombus auricomus,r,9/2/2019,1,2,0.026,l,y,4.485823333
461,KEB_00933,933,bombus auricomus,r,9/2/2019,2,1,0.026,r,n,4.485823333
462,KEB_00933,933,bombus auricomus,r,9/2/2019,2,2,0.026,r,n,4.485823333
463,KEB_00971,971,bombus auricomus,c,9/13/2019,1,1,0.026,l,y,4.10735
464,KEB_00971,971,bombus auricomus,c,9/13/2019,1,2,0.026,l,y,4.10735
465,KEB_00971,971,bombus auricomus,c,9/13/2019,2,1,0.026,l,n,4.10735
466,KEB_00971,971,bombus auricomus,c,9/13/2019,2,2,0.026,l,n,4.10735
467,KEB_00978,978,bombus auricomus,c,9/13/2019,1,1,0.026,l,y,4.32042
468,KEB_00978,978,bombus auricomus,c,9/13/2019,1,2,0.026,l,y,4.32042
469,KEB_00978,978,bombus auricomus,c,9/13/2019,2,1,0.026,r,n,4.32042
470,KEB_00978,978,bombus auricomus,c,9/13/2019,2,2,0.026,r,n,4.32042
471,KEB_00987,987,bombus auricomus,c,9/13/2019,1,1,0.026,l,y,4.257565
472,KEB_00987,987,bombus auricomus,c,9/13/2019,1,2,0.026,l,y,4.257565
473,KEB_00987,987,bombus auricomus,c,9/13/2019,2,1,0.026,r,n,4.257565
474,KEB_00987,987,bombus auricomus,c,9/13/2019,2,2,0.026,r,n,4.257565
521,KEB_00564,564,bombus auricomus,r,7/26/2019,1,1,0.026,l,y,3.850535
522,KEB_00564,564,bombus auricomus,r,7/26/2019,1,2,0.026,l,y,3.850535
523,KEB_00564,564,bombus auricomus,r,7/26/2019,2,1,0.026,r,n,3.850535
524,KEB_00564,564,bombus auricomus,r,7/26/2019,2,2,0.026,r,n,3.850535
525,KEB_00591,591,bombus auricomus,r,7/29/2019,1,1,0.026,l,y,4.586985
526,KEB_00591,591,bombus auricomus,r,7/29/2019,1,2,0.026,l,y,4.586985
527,KEB_00591,591,bombus auricomus,r,7/29/2019,2,1,0.026,r,n,4.586985
528,KEB_00591,591,bombus auricomus,r,7/29/2019,2,2,0.026,r,n,4.586985
533,KEB_00597,597,bombus auricomus,r,7/29/2019,1,1,0.026,l,y,3.95733
534,KEB_00597,597,bombus auricomus,r,7/29/2019,1,2,0.026,l,y,3.95733
535,KEB_00597,597,bombus auricomus,r,7/29/2019,2,1,0.026,l,n,3.95733
536,KEB_00597,597,bombus auricomus,r,7/29/2019,2,2,0.026,l,n,3.95733
545,KEB_00652,652,bombus auricomus,r,7/29/2019,1,1,0.026,l,y,4.462726667
546,KEB_00652,652,bombus auricomus,r,7/29/2019,1,2,0.026,l,y,4.462726667
547,KEB_00652,652,bombus auricomus,r,7/29/2019,2,1,0.026,l,n,4.462726667
548,KEB_00652,652,bombus auricomus,r,7/29/2019,2,2,0.026,l,n,4.462726667
549,KEB_00733,733,bombus auricomus,r,8/13/2019,1,1,0.026,l,y,3.814005
550,KEB_00733,733,bombus auricomus,r,8/13/2019,1,2,0.026,l,y,3.814005
551,KEB_00733,733,bombus auricomus,r,8/13/2019,2,1,0.026,r,n,3.814005
552,KEB_00733,733,bombus auricomus,r,8/13/2019,2,2,0.026,r,n,3.814005
803,KEB_00334,334,bombus griseocollis,r,7/16/2019,1,1,0.026,l,y,3.7395475
804,KEB_00334,334,bombus griseocollis,r,7/16/2019,1,2,0.026,l,y,3.7395475
805,KEB_00334,334,bombus griseocollis,r,7/16/2019,2,1,0.026,r,n,3.7395475
806,KEB_00334,334,bombus griseocollis,r,7/16/2019,2,2,0.026,r,n,3.7395475
807,KEB_00419,419,bombus impatiens,r,7/19/2019,1,1,0.016,l,n,2.97616
808,KEB_00419,419,bombus impatiens,r,7/19/2019,1,2,0.016,l,n,2.97616
809,KEB_00419,419,bombus impatiens,r,7/19/2019,2,1,0.016,r,y,2.97616
810,KEB_00419,419,bombus impatiens,r,7/19/2019,2,2,0.016,r,y,2.97616
811,KEB_00467,467,bombus griseocollis,r,7/23/2019,1,1,0.026,l,y,4.0867125
812,KEB_00467,467,bombus griseocollis,r,7/23/2019,1,2,0.026,l,y,4.0867125
813,KEB_00467,467,bombus griseocollis,r,7/23/2019,2,1,0.026,r,n,4.0867125
814,KEB_00467,467,bombus griseocollis,r,7/23/2019,2,2,0.026,r,n,4.0867125
819,KEB_00741,741,bombus bimaculatus,r,8/13/2019,1,1,0.016,l,y,2.067746
820,KEB_00741,741,bombus bimaculatus,r,8/13/2019,1,2,0.016,l,y,2.067746
821,KEB_00741,741,bombus bimaculatus,r,8/13/2019,2,1,0.016,l,n,2.067746
822,KEB_00741,741,bombus bimaculatus,r,8/13/2019,2,2,0.016,l,n,2.067746
823,KEB_00742,742,bombus bimaculatus,r,8/13/2019,1,1,0.016,r,y,4.00556
824,KEB_00742,742,bombus bimaculatus,r,8/13/2019,1,2,0.016,r,y,4.00556
825,KEB_00742,742,bombus bimaculatus,r,8/13/2019,2,1,0.016,r,n,4.00556
826,KEB_00742,742,bombus bimaculatus,r,8/13/2019,2,2,0.016,r,n,4.00556
827,KEB_00870,870,bombus impatiens,c,8/29/2019,1,1,0.016,l,y,2.98744
828,KEB_00870,870,bombus impatiens,c,8/29/2019,1,2,0.016,l,y,2.98744
829,KEB_00870,870,bombus impatiens,c,8/29/2019,2,1,0.016,r,n,2.98744
830,KEB_00870,870,bombus impatiens,c,8/29/2019,2,2,0.016,r,n,2.98744
831,KEB_00876,876,bombus bimaculatus,r,8/29/2019,1,1,0.016,l,y,3.93832
832,KEB_00876,876,bombus bimaculatus,r,8/29/2019,1,2,0.016,l,y,3.93832
833,KEB_00876,876,bombus bimaculatus,r,8/29/2019,2,1,0.016,r,n,3.93832
834,KEB_00876,876,bombus bimaculatus,r,8/29/2019,2,2,0.016,r,n,3.93832
1011,KEB_00425,425,bombus griseocollis,r,7/19/2019,1,1,0.016,l,y,3.2086
1012,KEB_00425,425,bombus griseocollis,r,7/19/2019,1,2,0.016,l,y,3.2086
1013,KEB_00425,425,bombus griseocollis,r,7/19/2019,2,1,0.016,r,n,3.2086
1014,KEB_00425,425,bombus griseocollis,r,7/19/2019,2,2,0.016,r,n,3.2086
