final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00741,bombus bimaculatus,r,8/13/2019,1,1,28778,y,l,2.067746
KEB_00741,bombus bimaculatus,r,8/13/2019,1,2,28800,y,l,2.067746
KEB_00741,bombus bimaculatus,r,8/13/2019,2,1,28822,n,r,2.067746
KEB_00741,bombus bimaculatus,r,8/13/2019,2,2,28844,n,r,2.067746
KEB_00742,bombus bimaculatus,r,8/13/2019,1,1,28866,y,l,4.00556
KEB_00742,bombus bimaculatus,r,8/13/2019,1,2,28888,y,l,4.00556
KEB_00742,bombus bimaculatus,r,8/13/2019,2,1,28910,n,r,4.00556
KEB_00742,bombus bimaculatus,r,8/13/2019,2,2,28932,n,r,4.00556
KEB_00876,bombus bimaculatus,r,8/29/2019,1,1,29130,y,l,3.93832
KEB_00876,bombus bimaculatus,r,8/29/2019,1,2,29152,y,l,3.93832
KEB_00876,bombus bimaculatus,r,8/29/2019,2,1,29174,n,r,3.93832
KEB_00876,bombus bimaculatus,r,8/29/2019,2,2,29196,n,r,3.93832
KEB_00504,bombus bimaculatus,c,7/25/2019,1,1,33353,y,l,2.85504
KEB_00504,bombus bimaculatus,c,7/25/2019,1,2,33375,y,l,2.85504
KEB_00504,bombus bimaculatus,c,7/25/2019,2,1,33397,n,r,2.85504
KEB_00504,bombus bimaculatus,c,7/25/2019,2,2,33419,n,r,2.85504
KEB_00521,bombus bimaculatus,r,7/25/2019,1,1,33441,y,l,4.09708
KEB_00521,bombus bimaculatus,r,7/25/2019,1,2,33463,y,l,4.09708
KEB_00521,bombus bimaculatus,r,7/25/2019,2,1,33485,n,r,4.09708
KEB_00521,bombus bimaculatus,r,7/25/2019,2,2,33507,n,r,4.09708
KEB_00522,bombus bimaculatus,r,7/25/2019,1,1,33529,y,l,4.00708
KEB_00522,bombus bimaculatus,r,7/25/2019,1,2,33551,y,l,4.00708
KEB_00522,bombus bimaculatus,r,7/25/2019,2,1,33573,n,r,4.00708
KEB_00522,bombus bimaculatus,r,7/25/2019,2,2,33595,n,r,4.00708
KEB_00571,bombus bimaculatus,r,7/26/2019,1,1,33617,y,l,3.28956
KEB_00571,bombus bimaculatus,r,7/26/2019,1,2,33639,y,l,3.28956
KEB_00571,bombus bimaculatus,r,7/26/2019,2,1,33661,n,r,3.28956
KEB_00571,bombus bimaculatus,r,7/26/2019,2,2,33683,n,r,3.28956
KEB_00718,bombus bimaculatus,r,8/13/2019,1,1,33881,y,l,3.99448
KEB_00718,bombus bimaculatus,r,8/13/2019,1,2,33903,y,l,3.99448
KEB_00718,bombus bimaculatus,r,8/13/2019,2,1,33925,n,r,3.99448
KEB_00718,bombus bimaculatus,r,8/13/2019,2,2,33947,n,r,3.99448
KEB_00752,bombus bimaculatus,r,8/13/2019,1,1,34233,y,l,3.83304
KEB_00752,bombus bimaculatus,r,8/13/2019,1,2,34255,y,l,3.83304
KEB_00752,bombus bimaculatus,r,8/13/2019,2,1,34277,n,r,3.83304
KEB_00752,bombus bimaculatus,r,8/13/2019,2,2,34299,n,r,3.83304
KEB_00779,bombus bimaculatus,c,8/14/2019,1,1,34409,y,l,3.854
KEB_00779,bombus bimaculatus,c,8/14/2019,1,2,34431,y,l,3.854
KEB_00779,bombus bimaculatus,c,8/14/2019,2,1,34453,n,r,3.854
KEB_00779,bombus bimaculatus,c,8/14/2019,2,2,34475,n,r,3.854
KEB_00814,bombus bimaculatus,r,8/16/2019,1,1,34497,y,l,3.63272
KEB_00814,bombus bimaculatus,r,8/16/2019,1,2,34519,y,l,3.63272
KEB_00814,bombus bimaculatus,r,8/16/2019,2,1,34541,n,r,3.63272
KEB_00814,bombus bimaculatus,r,8/16/2019,2,2,34563,n,r,3.63272
KEB_00818,bombus bimaculatus,r,8/16/2019,1,1,34761,y,l,3.82536
KEB_00818,bombus bimaculatus,r,8/16/2019,1,2,34783,y,l,3.82536
KEB_00818,bombus bimaculatus,r,8/16/2019,2,1,34805,n,r,3.82536
KEB_00818,bombus bimaculatus,r,8/16/2019,2,2,34827,n,r,3.82536
KEB_00842,bombus bimaculatus,r,8/16/2019,1,1,34849,y,l,3.95332
KEB_00842,bombus bimaculatus,r,8/16/2019,1,2,34871,y,l,3.95332
KEB_00842,bombus bimaculatus,r,8/16/2019,2,1,34893,n,r,3.95332
KEB_00842,bombus bimaculatus,r,8/16/2019,2,2,34915,n,r,3.95332
KEB_00846,bombus bimaculatus,r,8/16/2019,1,1,34937,y,l,3.57242
KEB_00846,bombus bimaculatus,r,8/16/2019,1,2,34959,y,l,3.57242
KEB_00846,bombus bimaculatus,r,8/16/2019,2,1,34981,n,r,3.57242
KEB_00846,bombus bimaculatus,r,8/16/2019,2,2,35003,n,r,3.57242
KEB_00864,bombus bimaculatus,r,8/16/2019,1,1,35025,y,l,3.73084
KEB_00864,bombus bimaculatus,r,8/16/2019,1,2,35047,y,l,3.73084
KEB_00864,bombus bimaculatus,r,8/16/2019,2,1,35069,n,r,3.73084
KEB_00864,bombus bimaculatus,r,8/16/2019,2,2,35091,n,r,3.73084
KEB_00867,bombus bimaculatus,r,8/16/2019,1,1,35113,y,l,4.06036
KEB_00867,bombus bimaculatus,r,8/16/2019,1,2,35135,y,l,4.06036
KEB_00867,bombus bimaculatus,r,8/16/2019,2,1,35157,n,r,4.06036
KEB_00867,bombus bimaculatus,r,8/16/2019,2,2,35179,n,r,4.06036
KEB_00868,bombus bimaculatus,r,8/16/2019,1,1,35201,y,l,1.966
KEB_00868,bombus bimaculatus,r,8/16/2019,1,2,35223,y,l,1.966
KEB_00868,bombus bimaculatus,r,8/16/2019,2,1,35245,n,r,1.966
KEB_00868,bombus bimaculatus,r,8/16/2019,2,2,35267,n,r,1.966
KEB_00888,bombus bimaculatus,c,8/30/2019,1,1,35465,y,l,3.99932
KEB_00888,bombus bimaculatus,c,8/30/2019,1,2,35487,y,l,3.99932
KEB_00888,bombus bimaculatus,c,8/30/2019,2,1,35509,n,r,3.99932
KEB_00888,bombus bimaculatus,c,8/30/2019,2,2,35531,n,r,3.99932
KEB_00894,bombus bimaculatus,r,8/30/2019,1,1,35553,y,l,4.43716
KEB_00894,bombus bimaculatus,r,8/30/2019,1,2,35575,y,l,4.43716
KEB_00894,bombus bimaculatus,r,8/30/2019,2,1,35597,n,r,4.43716
KEB_00894,bombus bimaculatus,r,8/30/2019,2,2,35619,n,r,4.43716
KEB_00916,bombus bimaculatus,r,8/30/2019,1,1,35641,y,l,4.00976
KEB_00916,bombus bimaculatus,r,8/30/2019,1,2,35663,y,l,4.00976
KEB_00916,bombus bimaculatus,r,8/30/2019,2,1,35685,n,r,4.00976
KEB_00916,bombus bimaculatus,r,8/30/2019,2,2,35707,n,r,4.00976
KEB_00919,bombus bimaculatus,r,8/30/2019,1,1,35729,y,l,3.81636
KEB_00919,bombus bimaculatus,r,8/30/2019,1,2,35751,y,l,3.81636
KEB_00919,bombus bimaculatus,r,8/30/2019,2,1,35773,n,r,3.81636
KEB_00919,bombus bimaculatus,r,8/30/2019,2,2,35795,n,r,3.81636
