final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00334,bombus griseocollis,r,7/16/2019,1,1,28338,y,l,3.7395475
KEB_00334,bombus griseocollis,r,7/16/2019,1,2,28360,y,l,3.7395475
KEB_00334,bombus griseocollis,r,7/16/2019,2,1,28382,n,r,3.7395475
KEB_00334,bombus griseocollis,r,7/16/2019,2,2,28404,n,r,3.7395475
KEB_00467,bombus griseocollis,r,7/23/2019,1,1,28514,y,l,4.0867125
KEB_00467,bombus griseocollis,r,7/23/2019,1,2,28536,y,l,4.0867125
KEB_00467,bombus griseocollis,r,7/23/2019,2,1,28558,n,r,4.0867125
KEB_00467,bombus griseocollis,r,7/23/2019,2,2,28580,n,r,4.0867125
KEB_00425,bombus griseocollis,r,7/19/2019,1,1,33265,y,l,3.2086
KEB_00425,bombus griseocollis,r,7/19/2019,1,2,33287,y,l,3.2086
KEB_00425,bombus griseocollis,r,7/19/2019,2,1,33309,n,r,3.2086
KEB_00425,bombus griseocollis,r,7/19/2019,2,2,33331,n,r,3.2086
KEB_00581,bombus griseocollis,r,7/26/2019,1,1,33705,y,l,3.24828
KEB_00581,bombus griseocollis,r,7/26/2019,1,2,33727,y,l,3.24828
KEB_00581,bombus griseocollis,r,7/26/2019,2,1,33749,n,r,3.24828
KEB_00581,bombus griseocollis,r,7/26/2019,2,2,33771,n,r,3.24828
KEB_00728,bombus griseocollis,r,8/13/2019,1,1,33969,y,l,4.081285
KEB_00728,bombus griseocollis,r,8/13/2019,1,2,33991,y,l,4.081285
KEB_00728,bombus griseocollis,r,8/13/2019,2,1,34013,n,r,4.081285
KEB_00728,bombus griseocollis,r,8/13/2019,2,2,34035,n,r,4.081285
KEB_00318,bombus griseocollis,r,7/16/2019,1,1,35993,y,l,3.45306
KEB_00318,bombus griseocollis,r,7/16/2019,1,2,36015,y,l,3.45306
KEB_00318,bombus griseocollis,r,7/16/2019,2,1,36037,n,r,3.45306
KEB_00318,bombus griseocollis,r,7/16/2019,2,2,36059,n,r,3.45306
KEB_00319,bombus griseocollis,r,7/16/2019,1,1,36081,y,l,3.349775
KEB_00319,bombus griseocollis,r,7/16/2019,1,2,36103,y,l,3.349775
KEB_00319,bombus griseocollis,r,7/16/2019,2,1,36125,n,r,3.349775
KEB_00319,bombus griseocollis,r,7/16/2019,2,2,36147,n,r,3.349775
KEB_00320,bombus griseocollis,r,7/16/2019,1,1,36169,y,l,2.964845
KEB_00320,bombus griseocollis,r,7/16/2019,1,2,36191,y,l,2.964845
KEB_00320,bombus griseocollis,r,7/16/2019,2,1,36213,n,r,2.964845
KEB_00320,bombus griseocollis,r,7/16/2019,2,2,36235,n,r,2.964845
KEB_00335,bombus griseocollis,r,7/16/2019,1,1,36257,y,l,3.215277
KEB_00335,bombus griseocollis,r,7/16/2019,1,2,36279,y,l,3.215277
KEB_00335,bombus griseocollis,r,7/16/2019,2,1,36301,n,r,3.215277
KEB_00335,bombus griseocollis,r,7/16/2019,2,2,36323,n,r,3.215277
KEB_00394,bombus griseocollis,r,7/19/2019,1,1,36433,y,l,3.364595
KEB_00394,bombus griseocollis,r,7/19/2019,1,2,36455,y,l,3.364595
KEB_00394,bombus griseocollis,r,7/19/2019,2,1,36477,n,r,3.364595
KEB_00394,bombus griseocollis,r,7/19/2019,2,2,36499,n,r,3.364595
KEB_00395,bombus griseocollis,r,7/19/2019,1,1,36521,y,l,3.60568
KEB_00395,bombus griseocollis,r,7/19/2019,1,2,36543,y,l,3.60568
KEB_00395,bombus griseocollis,r,7/19/2019,2,1,36565,n,r,3.60568
KEB_00395,bombus griseocollis,r,7/19/2019,2,2,36587,n,r,3.60568
KEB_00396,bombus griseocollis,r,7/19/2019,1,1,36609,y,l,3.311685
KEB_00396,bombus griseocollis,r,7/19/2019,1,2,36631,y,l,3.311685
KEB_00396,bombus griseocollis,r,7/19/2019,2,1,36653,n,r,3.311685
KEB_00396,bombus griseocollis,r,7/19/2019,2,2,36675,n,r,3.311685
KEB_00397,bombus griseocollis,r,7/19/2019,1,1,36697,y,l,3.35439
KEB_00397,bombus griseocollis,r,7/19/2019,1,2,36719,y,l,3.35439
KEB_00397,bombus griseocollis,r,7/19/2019,2,1,36741,n,r,3.35439
KEB_00397,bombus griseocollis,r,7/19/2019,2,2,36763,n,r,3.35439
KEB_00398,bombus griseocollis,r,7/19/2019,1,1,36785,y,l,3.898245
KEB_00398,bombus griseocollis,r,7/19/2019,1,2,36807,y,l,3.898245
KEB_00398,bombus griseocollis,r,7/19/2019,2,1,36829,n,r,3.898245
KEB_00398,bombus griseocollis,r,7/19/2019,2,2,36851,n,r,3.898245
KEB_00399,bombus griseocollis,r,7/19/2019,1,1,36873,y,l,3.56681
KEB_00399,bombus griseocollis,r,7/19/2019,1,2,36895,y,l,3.56681
KEB_00399,bombus griseocollis,r,7/19/2019,2,1,36917,n,r,3.56681
KEB_00399,bombus griseocollis,r,7/19/2019,2,2,36939,n,r,3.56681
KEB_00401,bombus griseocollis,r,7/19/2019,1,1,36961,y,l,3.299855
KEB_00401,bombus griseocollis,r,7/19/2019,1,2,36983,y,l,3.299855
KEB_00401,bombus griseocollis,r,7/19/2019,2,1,37005,n,r,3.299855
KEB_00401,bombus griseocollis,r,7/19/2019,2,2,37027,n,r,3.299855
KEB_00420,bombus griseocollis,r,7/19/2019,1,1,37049,y,l,3.596255
KEB_00420,bombus griseocollis,r,7/19/2019,1,2,37071,y,l,3.596255
KEB_00420,bombus griseocollis,r,7/19/2019,2,1,37093,n,r,3.596255
KEB_00420,bombus griseocollis,r,7/19/2019,2,2,37115,n,r,3.596255
KEB_00445,bombus griseocollis,r,7/23/2019,1,1,37137,y,l,3.58566
KEB_00445,bombus griseocollis,r,7/23/2019,1,2,37159,y,l,3.58566
KEB_00445,bombus griseocollis,r,7/23/2019,2,1,37181,n,r,3.58566
KEB_00445,bombus griseocollis,r,7/23/2019,2,2,37203,n,r,3.58566
KEB_00450,bombus griseocollis,r,7/23/2019,1,1,37225,y,l,3.971045
KEB_00450,bombus griseocollis,r,7/23/2019,1,2,37247,y,l,3.971045
KEB_00450,bombus griseocollis,r,7/23/2019,2,1,37269,n,r,3.971045
KEB_00450,bombus griseocollis,r,7/23/2019,2,2,37291,n,r,3.971045
KEB_00465,bombus griseocollis,r,7/23/2019,1,1,37313,y,l,3.352505
KEB_00465,bombus griseocollis,r,7/23/2019,1,2,37335,y,l,3.352505
KEB_00465,bombus griseocollis,r,7/23/2019,2,1,37357,n,r,3.352505
KEB_00465,bombus griseocollis,r,7/23/2019,2,2,37379,n,r,3.352505
KEB_00547,bombus griseocollis,r,7/26/2019,1,1,37489,y,l,3.723395
KEB_00547,bombus griseocollis,r,7/26/2019,1,2,37511,y,l,3.723395
KEB_00547,bombus griseocollis,r,7/26/2019,2,1,37533,n,r,3.723395
KEB_00547,bombus griseocollis,r,7/26/2019,2,2,37555,n,r,3.723395
KEB_00548,bombus griseocollis,r,7/26/2019,1,1,37577,y,l,3.6863125
KEB_00548,bombus griseocollis,r,7/26/2019,1,2,37599,y,l,3.6863125
KEB_00548,bombus griseocollis,r,7/26/2019,2,1,37621,n,r,3.6863125
KEB_00548,bombus griseocollis,r,7/26/2019,2,2,37643,n,r,3.6863125
KEB_00549,bombus griseocollis,r,7/26/2019,1,1,37665,y,l,3.653325
KEB_00549,bombus griseocollis,r,7/26/2019,1,2,37687,y,l,3.653325
KEB_00549,bombus griseocollis,r,7/26/2019,2,1,37709,n,r,3.653325
KEB_00549,bombus griseocollis,r,7/26/2019,2,2,37731,n,r,3.653325
KEB_00562,bombus griseocollis,r,7/26/2019,1,1,37753,y,l,3.599765
KEB_00562,bombus griseocollis,r,7/26/2019,1,2,37775,y,l,3.599765
KEB_00562,bombus griseocollis,r,7/26/2019,2,1,37797,n,r,3.599765
KEB_00562,bombus griseocollis,r,7/26/2019,2,2,37819,n,r,3.599765
KEB_00563,bombus griseocollis,r,7/26/2019,1,1,37841,y,l,3.243175
KEB_00563,bombus griseocollis,r,7/26/2019,1,2,37863,y,l,3.243175
KEB_00563,bombus griseocollis,r,7/26/2019,2,1,37885,n,r,3.243175
KEB_00563,bombus griseocollis,r,7/26/2019,2,2,37907,n,r,3.243175
KEB_00580,bombus griseocollis,r,7/26/2019,1,1,37929,y,l,3.16979
KEB_00580,bombus griseocollis,r,7/26/2019,1,2,37951,y,l,3.16979
KEB_00580,bombus griseocollis,r,7/26/2019,2,1,37973,n,r,3.16979
KEB_00580,bombus griseocollis,r,7/26/2019,2,2,37995,n,r,3.16979
KEB_00582,bombus griseocollis,r,7/26/2019,1,1,38017,y,l,3.8896
KEB_00582,bombus griseocollis,r,7/26/2019,1,2,38039,y,l,3.8896
KEB_00582,bombus griseocollis,r,7/26/2019,2,1,38061,n,r,3.8896
KEB_00582,bombus griseocollis,r,7/26/2019,2,2,38083,n,r,3.8896
KEB_00614,bombus griseocollis,r,7/29/2019,1,1,38105,y,l,4.088045
KEB_00614,bombus griseocollis,r,7/29/2019,1,2,38127,y,l,4.088045
KEB_00614,bombus griseocollis,r,7/29/2019,2,1,38149,n,r,4.088045
KEB_00614,bombus griseocollis,r,7/29/2019,2,2,38171,n,r,4.088045
KEB_00680,bombus griseocollis,r,8/9/2019,1,1,38193,y,l,3.67809
