rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
1,KEB_00103,103,halictus ligatus,r,7/1/2019,1,1,0.01,l,n,1.5656
2,KEB_00103,103,halictus ligatus,r,7/1/2019,1,2,0.01,l,n,1.5656
3,KEB_00103,103,halictus ligatus,r,7/1/2019,2,1,0.01,r,n,1.5656
4,KEB_00103,103,halictus ligatus,r,7/1/2019,2,2,0.01,r,n,1.5656
5,KEB_00104,104,halictus ligatus,r,7/1/2019,1,1,0.0081,l,y,2.027394667
6,KEB_00104,104,halictus ligatus,r,7/1/2019,1,2,0.0081,l,y,2.027394667
7,KEB_00104,104,halictus ligatus,r,7/1/2019,2,1,0.0081,r,n,2.027394667
8,KEB_00104,104,halictus ligatus,r,7/1/2019,2,2,0.0081,r,n,2.027394667
9,KEB_00115,115,halictus ligatus,r,7/1/2019,2,1,0.013,r,n,1.368325
10,KEB_00115,115,halictus ligatus,r,7/1/2019,2,2,0.013,r,n,1.368325
11,KEB_00122,122,halictus ligatus,r,7/2/2019,1,1,0.013,l,y,1.49435
12,KEB_00122,122,halictus ligatus,r,7/2/2019,1,2,0.013,l,y,1.49435
13,KEB_00122,122,halictus ligatus,r,7/2/2019,2,1,0.013,r,n,1.49435
14,KEB_00122,122,halictus ligatus,r,7/2/2019,2,2,0.013,r,n,1.49435
91,KEB_00251,251,halictus ligatus,r,7/12/2019,1,1,0.016,l,y,1.53924
92,KEB_00251,251,halictus ligatus,r,7/12/2019,1,2,0.016,l,y,1.53924
93,KEB_00251,251,halictus ligatus,r,7/12/2019,2,1,0.016,r,y,1.53924
94,KEB_00251,251,halictus ligatus,r,7/12/2019,2,2,0.016,r,y,1.53924
95,KEB_00260,260,halictus ligatus,r,7/12/2019,1,1,0.013,l,y,1.52035
96,KEB_00260,260,halictus ligatus,r,7/12/2019,1,2,0.013,l,y,1.52035
97,KEB_00260,260,halictus ligatus,r,7/12/2019,2,1,0.013,r,n,1.52035
98,KEB_00260,260,halictus ligatus,r,7/12/2019,2,2,0.013,r,n,1.52035
99,KEB_00261,261,halictus ligatus,r,7/12/2019,1,1,0.0081,l,y,1.53857475
100,KEB_00261,261,halictus ligatus,r,7/12/2019,1,2,0.0081,l,y,1.53857475
101,KEB_00261,261,halictus ligatus,r,7/12/2019,2,1,0.0081,r,n,1.53857475
102,KEB_00261,261,halictus ligatus,r,7/12/2019,2,2,0.0081,r,n,1.53857475
133,KEB_00303,303,halictus ligatus,r,7/15/2019,1,1,0.0081,l,y,1.54080225
134,KEB_00303,303,halictus ligatus,r,7/15/2019,1,2,0.0081,l,y,1.54080225
135,KEB_00303,303,halictus ligatus,r,7/15/2019,2,1,0.0081,r,n,1.54080225
136,KEB_00303,303,halictus ligatus,r,7/15/2019,2,2,0.0081,r,n,1.54080225
137,KEB_00304,304,halictus ligatus,r,7/15/2019,1,1,0.0081,l,y,1.414503
138,KEB_00304,304,halictus ligatus,r,7/15/2019,1,2,0.0081,l,y,1.414503
139,KEB_00304,304,halictus ligatus,r,7/15/2019,2,1,0.0081,r,y,1.414503
140,KEB_00304,304,halictus ligatus,r,7/15/2019,2,2,0.0081,r,y,1.414503
141,KEB_00305,305,halictus ligatus,r,7/15/2019,1,1,0.0081,l,n,1.3054365
142,KEB_00305,305,halictus ligatus,r,7/15/2019,1,2,0.0081,l,n,1.3054365
143,KEB_00305,305,halictus ligatus,r,7/15/2019,2,1,0.0081,r,y,1.3054365
144,KEB_00305,305,halictus ligatus,r,7/15/2019,2,2,0.0081,r,y,1.3054365
145,KEB_00340,340,halictus ligatus,r,7/16/2019,1,1,0.016,l,y,1.74224
146,KEB_00340,340,halictus ligatus,r,7/16/2019,1,2,0.016,l,y,1.74224
147,KEB_00340,340,halictus ligatus,r,7/16/2019,2,1,0.016,r,n,1.74224
148,KEB_00340,340,halictus ligatus,r,7/16/2019,2,2,0.016,r,n,1.74224
149,KEB_00353,353,halictus ligatus,r,7/17/2019,1,1,0.01,l,n,1.5872
150,KEB_00353,353,halictus ligatus,r,7/17/2019,1,2,0.01,l,n,1.5872
151,KEB_00354,354,halictus ligatus,r,7/17/2019,1,1,0.01,l,y,1.627
152,KEB_00354,354,halictus ligatus,r,7/17/2019,1,2,0.01,l,y,1.627
153,KEB_00354,354,halictus ligatus,r,7/17/2019,2,1,0.01,r,y,1.627
154,KEB_00354,354,halictus ligatus,r,7/17/2019,2,2,0.01,r,y,1.627
155,KEB_00355,355,halictus ligatus,r,7/17/2019,1,1,0.01,l,n,1.507125
156,KEB_00355,355,halictus ligatus,r,7/17/2019,1,2,0.01,l,n,1.507125
157,KEB_00355,355,halictus ligatus,r,7/17/2019,2,1,0.01,r,y,1.507125
158,KEB_00355,355,halictus ligatus,r,7/17/2019,2,2,0.01,r,y,1.507125
159,KEB_00356,356,halictus ligatus,r,7/17/2019,1,1,0.01,l,n,1.5393
160,KEB_00356,356,halictus ligatus,r,7/17/2019,1,2,0.01,l,n,1.5393
161,KEB_00356,356,halictus ligatus,r,7/17/2019,2,1,0.01,r,n,1.5393
162,KEB_00356,356,halictus ligatus,r,7/17/2019,2,2,0.01,r,n,1.5393
163,KEB_00357,357,halictus ligatus,r,7/17/2019,1,1,0.013,l,n,1.7147
164,KEB_00357,357,halictus ligatus,r,7/17/2019,1,2,0.013,l,n,1.7147
165,KEB_00357,357,halictus ligatus,r,7/17/2019,2,1,0.013,r,n,1.7147
166,KEB_00357,357,halictus ligatus,r,7/17/2019,2,2,0.013,r,n,1.7147
167,KEB_00364,364,halictus ligatus,r,7/17/2019,1,1,0.0081,l,y,1.553175
168,KEB_00364,364,halictus ligatus,r,7/17/2019,1,2,0.0081,l,y,1.553175
169,KEB_00364,364,halictus ligatus,r,7/17/2019,2,1,0.0081,r,n,1.553175
170,KEB_00364,364,halictus ligatus,r,7/17/2019,2,2,0.0081,r,n,1.553175
171,KEB_00387,387,halictus ligatus,r,7/18/2019,1,1,0.01,l,y,1.408425
172,KEB_00387,387,halictus ligatus,r,7/18/2019,1,2,0.01,l,y,1.408425
173,KEB_00388,388,halictus ligatus,r,7/18/2019,1,1,0.013,l,y,1.7080375
174,KEB_00388,388,halictus ligatus,r,7/18/2019,1,2,0.013,l,y,1.7080375
175,KEB_00388,388,halictus ligatus,r,7/18/2019,2,1,0.013,r,n,1.7080375
176,KEB_00388,388,halictus ligatus,r,7/18/2019,2,2,0.013,r,n,1.7080375
203,KEB_00458,458,halictus ligatus,r,7/23/2019,1,1,0.016,l,y,1.51244
204,KEB_00458,458,halictus ligatus,r,7/23/2019,1,2,0.016,l,y,1.51244
205,KEB_00458,458,halictus ligatus,r,7/23/2019,2,1,0.016,r,n,1.51244
206,KEB_00458,458,halictus ligatus,r,7/23/2019,2,2,0.016,r,n,1.51244
211,KEB_00471,471,halictus ligatus,r,7/23/2019,1,1,0.013,l,y,1.785875
212,KEB_00471,471,halictus ligatus,r,7/23/2019,1,2,0.013,l,y,1.785875
213,KEB_00471,471,halictus ligatus,r,7/23/2019,2,1,0.013,r,n,1.785875
214,KEB_00471,471,halictus ligatus,r,7/23/2019,2,2,0.013,r,n,1.785875
259,KEB_00598,598,halictus ligatus,r,7/29/2019,1,1,0.01,r,y,1.6192
260,KEB_00598,598,halictus ligatus,r,7/29/2019,1,2,0.01,r,y,1.6192
261,KEB_00598,598,halictus ligatus,r,7/29/2019,2,1,0.01,l,n,1.6192
262,KEB_00598,598,halictus ligatus,r,7/29/2019,2,2,0.01,l,n,1.6192
263,KEB_00599,599,halictus ligatus,r,7/29/2019,1,1,0.013,l,y,1.505855
264,KEB_00599,599,halictus ligatus,r,7/29/2019,1,2,0.013,l,y,1.505855
265,KEB_00599,599,halictus ligatus,r,7/29/2019,2,1,0.013,r,n,1.505855
266,KEB_00599,599,halictus ligatus,r,7/29/2019,2,2,0.013,r,n,1.505855
267,KEB_00647,647,halictus ligatus,c,7/29/2019,1,1,0.01,l,y,1.5695
268,KEB_00647,647,halictus ligatus,c,7/29/2019,1,2,0.01,l,y,1.5695
269,KEB_00647,647,halictus ligatus,c,7/29/2019,2,1,0.01,l,y,1.5695
270,KEB_00647,647,halictus ligatus,c,7/29/2019,2,2,0.01,l,y,1.5695
271,KEB_00649,649,halictus ligatus,c,7/29/2019,1,1,0.013,l,y,1.4724125
272,KEB_00649,649,halictus ligatus,c,7/29/2019,1,2,0.013,l,y,1.4724125
273,KEB_00649,649,halictus ligatus,c,7/29/2019,2,1,0.013,r,n,1.4724125
274,KEB_00649,649,halictus ligatus,c,7/29/2019,2,2,0.013,r,n,1.4724125
275,KEB_00650,650,halictus ligatus,c,7/29/2019,1,1,0.0081,r,n,1.4556915
276,KEB_00650,650,halictus ligatus,c,7/29/2019,1,2,0.0081,r,n,1.4556915
277,KEB_00650,650,halictus ligatus,c,7/29/2019,2,1,0.0081,l,y,1.4556915
278,KEB_00650,650,halictus ligatus,c,7/29/2019,2,2,0.0081,l,y,1.4556915
279,KEB_00651,651,halictus ligatus,c,7/29/2019,1,1,0.01,l,y,1.3326
280,KEB_00651,651,halictus ligatus,c,7/29/2019,1,2,0.01,l,y,1.3326
281,KEB_00651,651,halictus ligatus,c,7/29/2019,2,1,0.01,l,y,1.3326
282,KEB_00651,651,halictus ligatus,c,7/29/2019,2,2,0.01,l,y,1.3326
283,KEB_00663,663,halictus ligatus,r,8/9/2019,1,1,0.01,r,n,1.5289
284,KEB_00663,663,halictus ligatus,r,8/9/2019,1,2,0.01,r,n,1.5289
285,KEB_00663,663,halictus ligatus,r,8/9/2019,2,1,0.01,l,y,1.5289
286,KEB_00663,663,halictus ligatus,r,8/9/2019,2,2,0.01,l,y,1.5289
287,KEB_00664,664,halictus ligatus,r,8/9/2019,1,1,0.0081,r,n,1.3536315
288,KEB_00664,664,halictus ligatus,r,8/9/2019,1,2,0.0081,r,n,1.3536315
289,KEB_00665,665,halictus ligatus,r,8/9/2019,1,1,0.01,l,y,1.46295
290,KEB_00665,665,halictus ligatus,r,8/9/2019,1,2,0.01,l,y,1.46295
291,KEB_00665,665,halictus ligatus,r,8/9/2019,2,1,0.01,l,n,1.46295
292,KEB_00665,665,halictus ligatus,r,8/9/2019,2,2,0.01,l,n,1.46295
293,KEB_00666,666,halictus ligatus,r,8/9/2019,1,1,0.0081,r,n,1.56449475
294,KEB_00666,666,halictus ligatus,r,8/9/2019,1,2,0.0081,r,n,1.56449475
295,KEB_00666,666,halictus ligatus,r,8/9/2019,2,1,0.0081,r,y,1.56449475
296,KEB_00666,666,halictus ligatus,r,8/9/2019,2,2,0.0081,r,y,1.56449475
297,KEB_00678,678,halictus ligatus,r,8/9/2019,1,1,0.013,l,y,1.851395
298,KEB_00678,678,halictus ligatus,r,8/9/2019,1,2,0.013,l,y,1.851395
299,KEB_00678,678,halictus ligatus,r,8/9/2019,2,1,0.013,l,n,1.851395
300,KEB_00678,678,halictus ligatus,r,8/9/2019,2,2,0.013,l,n,1.851395
301,KEB_00692,692,halictus ligatus,r,8/9/2019,1,1,0.013,r,n,1.5764125
302,KEB_00692,692,halictus ligatus,r,8/9/2019,1,2,0.013,r,n,1.5764125
303,KEB_00692,692,halictus ligatus,r,8/9/2019,2,1,0.013,l,y,1.5764125
304,KEB_00692,692,halictus ligatus,r,8/9/2019,2,2,0.013,l,y,1.5764125
305,KEB_00746,746,halictus ligatus,r,8/13/2019,2,1,0.01,l,y,1.4961
306,KEB_00746,746,halictus ligatus,r,8/13/2019,2,2,0.01,l,y,1.4961
311,KEB_00791,791,halictus ligatus,c,8/15/2019,1,1,0.0081,r,n,1.2980655
312,KEB_00791,791,halictus ligatus,c,8/15/2019,1,2,0.0081,r,n,1.2980655
313,KEB_00791,791,halictus ligatus,c,8/15/2019,2,1,0.0081,r,y,1.2980655
314,KEB_00791,791,halictus ligatus,c,8/15/2019,2,2,0.0081,l,y,1.2980655
315,KEB_00792,792,halictus ligatus,c,8/15/2019,1,1,0.0081,r,n,1.39876875
316,KEB_00792,792,halictus ligatus,c,8/15/2019,1,2,0.0081,r,n,1.39876875
317,KEB_00792,792,halictus ligatus,c,8/15/2019,2,1,0.0081,r,n,1.39876875
318,KEB_00792,792,halictus ligatus,c,8/15/2019,2,2,0.0081,r,n,1.39876875
323,KEB_00813,813,halictus ligatus,r,8/16/2019,1,1,0.016,r,n,1.52856
324,KEB_00813,813,halictus ligatus,r,8/16/2019,1,2,0.016,r,n,1.52856
325,KEB_00813,813,halictus ligatus,r,8/16/2019,2,1,0.016,l,y,1.52856
326,KEB_00813,813,halictus ligatus,r,8/16/2019,2,2,0.016,l,y,1.52856
