final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00930,halictus confusus,c,9/2/2019,1,1,8978,n,l,#N/A
KEB_00930,halictus confusus,c,9/2/2019,1,2,9000,n,l,#N/A
KEB_00930,halictus confusus,c,9/2/2019,2,1,9022,y,r,#N/A
KEB_00930,halictus confusus,c,9/2/2019,2,2,9044,y,r,#N/A
KEB_00932,halictus confusus,c,9/2/2019,1,1,9066,n,l,#N/A
KEB_00932,halictus confusus,c,9/2/2019,1,2,9088,n,l,#N/A
KEB_00932,halictus confusus,c,9/2/2019,2,1,9110,n,r,#N/A
KEB_00932,halictus confusus,c,9/2/2019,2,2,9132,n,r,#N/A
KEB_00881,halictus confusus,r,8/29/2019,1,1,9154,n,l,#N/A
KEB_00881,halictus confusus,r,8/29/2019,1,2,9176,n,l,#N/A
KEB_00881,halictus confusus,r,8/29/2019,2,1,9198,y,r,#N/A
KEB_00881,halictus confusus,r,8/29/2019,2,2,9220,y,r,#N/A
KEB_00802,halictus confusus,c,8/15/2019,1,1,9946,y,l,#N/A
KEB_00802,halictus confusus,c,8/15/2019,1,2,9968,y,l,#N/A
KEB_00802,halictus confusus,c,8/15/2019,2,1,9990,n,r,#N/A
KEB_00802,halictus confusus,c,8/15/2019,2,2,10012,n,r,#N/A
KEB_00710,halictus confusus,c,8/13/2019,1,1,10210,n,l,1.298025
KEB_00710,halictus confusus,c,8/13/2019,1,2,10232,n,l,1.298025
KEB_00710,halictus confusus,c,8/13/2019,2,1,10254,n,r,1.298025
KEB_00710,halictus confusus,c,8/13/2019,2,2,10276,n,r,1.298025
KEB_00542,halictus confusus,c,7/26/2019,1,1,10298,n,l,0.702175
KEB_00542,halictus confusus,c,7/26/2019,1,2,10320,n,l,0.702175
KEB_00542,halictus confusus,c,7/26/2019,2,1,10342,y,r,0.702175
KEB_00542,halictus confusus,c,7/26/2019,2,2,10364,y,r,0.702175
KEB_00541,halictus confusus,c,7/26/2019,1,1,10386,y,l,0.656025
KEB_00541,halictus confusus,c,7/26/2019,1,2,10408,y,l,0.656025
KEB_00541,halictus confusus,c,7/26/2019,2,1,10430,y,r,0.656025
KEB_00541,halictus confusus,c,7/26/2019,2,2,10452,y,r,0.656025
KEB_00404,halictus confusus,r,7/19/2019,1,1,10474,y,l,1.4137375
KEB_00404,halictus confusus,r,7/19/2019,1,2,10496,y,l,1.4137375
KEB_00404,halictus confusus,r,7/19/2019,2,1,10518,y,r,1.4137375
KEB_00404,halictus confusus,r,7/19/2019,2,2,10540,y,r,1.4137375
KEB_00999,halictus confusus,c,9/20/2019,1,1,10650,n,l,1.4388075
KEB_00999,halictus confusus,c,9/20/2019,1,2,10672,n,l,1.4388075
KEB_00999,halictus confusus,c,9/20/2019,2,1,10694,n,r,1.4388075
KEB_00999,halictus confusus,c,9/20/2019,2,2,10716,n,r,1.4388075
KEB_00253,halictus confusus,r,7/12/2019,1,1,10738,n,l,1.36462625
KEB_00253,halictus confusus,r,7/12/2019,1,2,10760,n,l,1.36462625
KEB_00253,halictus confusus,r,7/12/2019,2,1,10782,y,r,1.36462625
KEB_00253,halictus confusus,r,7/12/2019,2,2,10804,y,r,1.36462625
KEB_00310,halictus confusus,r,7/15/2019,1,1,10826,y,l,1.0163725
KEB_00310,halictus confusus,r,7/15/2019,1,2,10848,y,l,1.0163725
KEB_00310,halictus confusus,r,7/15/2019,2,1,10870,y,r,1.0163725
KEB_00310,halictus confusus,r,7/15/2019,2,2,10892,y,r,1.0163725
KEB_00923,halictus confusus,c,9/2/2019,1,1,11882,n,l,#N/A
KEB_00923,halictus confusus,c,9/2/2019,1,2,11904,n,l,#N/A
KEB_00923,halictus confusus,c,9/2/2019,2,1,11926,y,r,#N/A
KEB_00923,halictus confusus,c,9/2/2019,2,2,11948,y,r,#N/A
KEB_00945,halictus confusus,c,9/13/2019,1,1,11970,n,l,1.52087
KEB_00945,halictus confusus,c,9/13/2019,1,2,11992,n,l,1.52087
KEB_00945,halictus confusus,c,9/13/2019,2,1,12014,n,r,1.52087
KEB_00945,halictus confusus,c,9/13/2019,2,2,12036,n,r,1.52087
KEB_00993,halictus confusus,r,9/20/2019,1,1,12058,y,l,1.52776
KEB_00993,halictus confusus,r,9/20/2019,1,2,12080,y,l,1.52776
KEB_00993,halictus confusus,r,9/20/2019,2,1,12102,y,r,1.52776
KEB_00993,halictus confusus,r,9/20/2019,2,2,12124,y,r,1.52776
KEB_00997,halictus confusus,c,9/20/2019,1,1,12146,n,l,1.321225
KEB_00997,halictus confusus,c,9/20/2019,1,2,12168,n,l,1.321225
KEB_00997,halictus confusus,c,9/20/2019,2,1,12190,y,r,1.321225
KEB_00997,halictus confusus,c,9/20/2019,2,2,12212,y,r,1.321225
