final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00103,halictus ligatus,r,7/1/2019,1,1,2,n,l,1.5656
KEB_00103,halictus ligatus,r,7/1/2019,1,2,24,n,l,1.5656
KEB_00103,halictus ligatus,r,7/1/2019,2,1,46,n,r,1.5656
KEB_00103,halictus ligatus,r,7/1/2019,2,2,68,n,r,1.5656
KEB_00104,halictus ligatus,r,7/1/2019,1,1,90,y,l,2.027394667
KEB_00104,halictus ligatus,r,7/1/2019,1,2,112,y,l,2.027394667
KEB_00104,halictus ligatus,r,7/1/2019,2,1,134,n,r,2.027394667
KEB_00104,halictus ligatus,r,7/1/2019,2,2,156,n,r,2.027394667
KEB_00115,halictus ligatus,r,7/1/2019,2,1,222,n,r,1.368325
KEB_00115,halictus ligatus,r,7/1/2019,2,2,244,n,r,1.368325
KEB_00122,halictus ligatus,r,7/2/2019,1,1,266,y,l,1.49435
KEB_00122,halictus ligatus,r,7/2/2019,1,2,288,y,l,1.49435
KEB_00122,halictus ligatus,r,7/2/2019,2,1,310,n,r,1.49435
KEB_00122,halictus ligatus,r,7/2/2019,2,2,332,n,r,1.49435
KEB_00251,halictus ligatus,r,7/12/2019,1,1,2202,y,l,#N/A
KEB_00251,halictus ligatus,r,7/12/2019,1,2,2224,y,l,#N/A
KEB_00251,halictus ligatus,r,7/12/2019,2,1,2246,y,r,#N/A
KEB_00251,halictus ligatus,r,7/12/2019,2,2,2268,y,r,#N/A
KEB_00260,halictus ligatus,r,7/12/2019,1,1,2290,y,l,1.52035
KEB_00260,halictus ligatus,r,7/12/2019,1,2,2312,y,l,1.52035
KEB_00260,halictus ligatus,r,7/12/2019,2,1,2334,n,r,1.52035
KEB_00260,halictus ligatus,r,7/12/2019,2,2,2356,n,r,1.52035
KEB_00261,halictus ligatus,r,7/12/2019,1,1,2378,y,l,1.53857475
KEB_00261,halictus ligatus,r,7/12/2019,1,2,2400,y,l,1.53857475
KEB_00261,halictus ligatus,r,7/12/2019,2,1,2422,n,r,1.53857475
KEB_00261,halictus ligatus,r,7/12/2019,2,2,2444,n,r,1.53857475
KEB_00303,halictus ligatus,r,7/15/2019,1,1,3258,y,l,1.54080225
KEB_00303,halictus ligatus,r,7/15/2019,1,2,3280,y,l,1.54080225
KEB_00303,halictus ligatus,r,7/15/2019,2,1,3302,n,r,1.54080225
KEB_00303,halictus ligatus,r,7/15/2019,2,2,3324,n,r,1.54080225
KEB_00304,halictus ligatus,r,7/15/2019,1,1,3346,y,l,1.414503
KEB_00304,halictus ligatus,r,7/15/2019,1,2,3368,y,l,1.414503
KEB_00304,halictus ligatus,r,7/15/2019,2,1,3390,y,r,1.414503
KEB_00304,halictus ligatus,r,7/15/2019,2,2,3412,y,r,1.414503
KEB_00305,halictus ligatus,r,7/15/2019,1,1,3434,n,l,1.3054365
KEB_00305,halictus ligatus,r,7/15/2019,1,2,3456,n,l,1.3054365
KEB_00305,halictus ligatus,r,7/15/2019,2,1,3478,y,r,1.3054365
KEB_00305,halictus ligatus,r,7/15/2019,2,2,3500,y,r,1.3054365
KEB_00340,halictus ligatus,r,7/16/2019,1,1,3522,y,l,1.74224
KEB_00340,halictus ligatus,r,7/16/2019,1,2,3544,y,l,1.74224
KEB_00340,halictus ligatus,r,7/16/2019,2,1,3566,n,r,1.74224
KEB_00340,halictus ligatus,r,7/16/2019,2,2,3588,n,r,1.74224
KEB_00353,halictus ligatus,r,7/17/2019,1,1,3610,n,l,1.5872
KEB_00353,halictus ligatus,r,7/17/2019,1,2,3632,n,l,1.5872
KEB_00353,halictus ligatus,r,7/17/2019,2,1,3654,y,r,1.5872
KEB_00353,halictus ligatus,r,7/17/2019,2,2,3676,y,r,1.5872
KEB_00354,halictus ligatus,r,7/17/2019,1,1,3698,y,l,1.627
KEB_00354,halictus ligatus,r,7/17/2019,1,2,3720,y,l,1.627
KEB_00354,halictus ligatus,r,7/17/2019,2,1,3742,y,r,1.627
KEB_00354,halictus ligatus,r,7/17/2019,2,2,3764,y,r,1.627
