rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
495,KEB_00403,403,lasioglossum sp,r,7/19/2019,1,1,0.013,r,n,1.2843675
496,KEB_00403,403,lasioglossum sp,r,7/19/2019,1,2,0.013,r,n,1.2843675
497,KEB_00403,403,lasioglossum sp,r,7/19/2019,2,1,0.013,r,n,1.2843675
498,KEB_00403,403,lasioglossum sp,r,7/19/2019,2,2,0.013,r,n,1.2843675
513,KEB_00545,545,lasioglossum sp,r,7/26/2019,1,1,0.013,r,n,1.15349
514,KEB_00545,545,lasioglossum sp,r,7/26/2019,1,2,0.013,r,n,1.15349
515,KEB_00545,545,lasioglossum sp,r,7/26/2019,2,1,0.013,r,n,1.15349
516,KEB_00545,545,lasioglossum sp,r,7/26/2019,2,2,0.013,r,n,1.15349
517,KEB_00555,555,lasioglossum sp,r,7/26/2019,1,1,0.013,l,y,0.0432575
518,KEB_00555,555,lasioglossum sp,r,7/26/2019,1,2,0.013,l,y,0.0432575
519,KEB_00555,555,lasioglossum sp,r,7/26/2019,2,1,0.013,r,n,0.0432575
520,KEB_00555,555,lasioglossum sp,r,7/26/2019,2,2,0.013,r,n,0.0432575
559,KEB_00921,921,lasioglossum sp,c,9/2/2019,2,1,0.016,r,n,1.12984
560,KEB_00921,921,lasioglossum sp,c,9/2/2019,2,2,0.016,r,n,1.12984
569,KEB_00998,998,lasioglossum sp,c,9/20/2019,1,1,0.013,r,n,1.25879
570,KEB_00998,998,lasioglossum sp,c,9/20/2019,1,2,0.013,r,n,1.25879
571,KEB_00998,998,lasioglossum sp,c,9/20/2019,2,1,0.013,l,y,1.25879
572,KEB_00998,998,lasioglossum sp,c,9/20/2019,2,2,0.013,l,y,1.25879
577,KEB_00071,71,lasioglossum sp,c,6/28/2019,1,1,0.013,l,y,1.285635
578,KEB_00071,71,lasioglossum sp,c,6/28/2019,1,2,0.013,l,y,1.285635
579,KEB_00079,79,lasioglossum sp,c,6/28/2019,1,1,0.013,l,y,1.1048375
580,KEB_00079,79,lasioglossum sp,c,6/28/2019,1,2,0.013,l,y,1.1048375
581,KEB_00079,79,lasioglossum sp,c,6/28/2019,2,1,0.013,l,y,1.1048375
582,KEB_00079,79,lasioglossum sp,c,6/28/2019,2,2,0.013,l,y,1.1048375
583,KEB_00091,91,lasioglossum sp,c,7/1/2019,1,1,0.013,r,n,1.2938575
584,KEB_00091,91,lasioglossum sp,c,7/1/2019,1,2,0.013,r,n,1.2938575
585,KEB_00091,91,lasioglossum sp,c,7/1/2019,2,1,0.013,r,n,1.2938575
586,KEB_00091,91,lasioglossum sp,c,7/1/2019,2,2,0.013,r,n,1.2938575
587,KEB_00092,92,lasioglossum sp,c,7/1/2019,1,1,0.013,l,y,1.0722075
588,KEB_00092,92,lasioglossum sp,c,7/1/2019,1,2,0.013,l,y,1.0722075
589,KEB_00092,92,lasioglossum sp,c,7/1/2019,2,1,0.013,l,y,1.0722075
590,KEB_00092,92,lasioglossum sp,c,7/1/2019,2,2,0.013,l,y,1.0722075
