rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,notes,length
815,KEB_00698,698,melissodes bimaculatus,r,8/9/2019,1,1,0.016,l,y,,2.69876
816,KEB_00698,698,melissodes bimaculatus,r,8/9/2019,1,2,0.016,l,y,,2.69876
817,KEB_00698,698,melissodes bimaculatus,r,8/9/2019,2,1,0.016,r,n,resampled,2.69876
818,KEB_00698,698,melissodes bimaculatus,r,8/9/2019,2,2,0.016,r,n,,2.69876
835,KEB_00511,511,melissodes denticulatus,r,7/25/2019,1,1,0.013,l,y,,2.0391475
836,KEB_00511,511,melissodes denticulatus,r,7/25/2019,1,2,0.013,l,y,,2.0391475
837,KEB_00511,511,melissodes denticulatus,r,7/25/2019,2,1,0.013,r,n,,2.0391475
838,KEB_00511,511,melissodes denticulatus,r,7/25/2019,2,2,0.013,r,n,,2.0391475
839,KEB_00136,136,melissodes denticulatus,c,7/2/2019,1,1,0.013,l,y,,2.07584
840,KEB_00136,136,melissodes denticulatus,c,7/2/2019,1,2,0.013,l,y,,2.07584
841,KEB_00136,136,melissodes denticulatus,c,7/2/2019,2,1,0.013,r,n,,2.07584
842,KEB_00136,136,melissodes denticulatus,c,7/2/2019,2,2,0.013,r,n,,2.07584
843,KEB_00155,155,melissodes denticulatus,r,7/2/2019,1,1,0.013,l,n,,1.95524
844,KEB_00155,155,melissodes denticulatus,r,7/2/2019,1,2,0.013,l,n,,1.95524
845,KEB_00155,155,melissodes denticulatus,r,7/2/2019,2,1,0.013,r,n,,1.95524
846,KEB_00155,155,melissodes denticulatus,r,7/2/2019,2,2,0.013,r,n,,1.95524
847,KEB_00199,199,melissodes denticulatus,r,7/11/2019,1,1,0.013,l,y,,1.8784675
848,KEB_00199,199,melissodes denticulatus,r,7/11/2019,1,2,0.013,l,y,,1.8784675
849,KEB_00199,199,melissodes denticulatus,r,7/11/2019,2,1,0.013,r,n,,1.8784675
850,KEB_00199,199,melissodes denticulatus,r,7/11/2019,2,2,0.013,r,n,,1.8784675
851,KEB_00220,220,melissodes denticulatus,r,7/11/2019,1,1,0.01,l,y,,1.716475
852,KEB_00220,220,melissodes denticulatus,r,7/11/2019,1,2,0.01,l,y,,1.716475
853,KEB_00220,220,melissodes denticulatus,r,7/11/2019,2,1,0.01,r,y,,1.716475
854,KEB_00220,220,melissodes denticulatus,r,7/11/2019,2,2,0.01,r,y,,1.716475
855,KEB_00223,223,melissodes denticulatus,r,7/11/2019,1,1,0.016,l,y,,1.87516
856,KEB_00223,223,melissodes denticulatus,r,7/11/2019,1,2,0.016,l,y,,1.87516
857,KEB_00223,223,melissodes denticulatus,r,7/11/2019,2,1,0.016,r,n,,1.87516
858,KEB_00223,223,melissodes denticulatus,r,7/11/2019,2,2,0.016,r,n,,1.87516
859,KEB_00224,224,melissodes denticulatus,r,7/11/2019,1,1,0.01,l,n,,1.791925
860,KEB_00224,224,melissodes denticulatus,r,7/11/2019,1,2,0.01,l,n,,1.791925
861,KEB_00224,224,melissodes denticulatus,r,7/11/2019,2,1,0.01,r,n,,1.791925
862,KEB_00224,224,melissodes denticulatus,r,7/11/2019,2,2,0.01,r,n,,1.791925
863,KEB_00235,235,melissodes denticulatus,r,7/12/2019,1,1,0.016,l,y,,2.0258
864,KEB_00235,235,melissodes denticulatus,r,7/12/2019,1,2,0.016,l,y,,2.0258
865,KEB_00235,235,melissodes denticulatus,r,7/12/2019,2,1,0.016,r,n,,2.0258
866,KEB_00235,235,melissodes denticulatus,r,7/12/2019,2,2,0.016,r,n,,2.0258
867,KEB_00236,236,melissodes denticulatus,r,7/12/2019,1,1,0.013,l,y,,2.09807
868,KEB_00236,236,melissodes denticulatus,r,7/12/2019,1,2,0.013,l,y,,2.09807
869,KEB_00236,236,melissodes denticulatus,r,7/12/2019,2,1,0.013,r,n,,2.09807
870,KEB_00236,236,melissodes denticulatus,r,7/12/2019,2,2,0.013,r,n,,2.09807
871,KEB_00323,323,melissodes denticulatus,r,7/16/2019,1,1,0.013,l,y,,2.16502
872,KEB_00323,323,melissodes denticulatus,r,7/16/2019,1,2,0.013,l,y,,2.16502
873,KEB_00323,323,melissodes denticulatus,r,7/16/2019,2,1,0.013,r,n,,2.16502
874,KEB_00323,323,melissodes denticulatus,r,7/16/2019,2,2,0.013,r,n,,2.16502
875,KEB_00324,324,melissodes denticulatus,r,7/16/2019,1,1,0.016,l,n,,2.09452
876,KEB_00324,324,melissodes denticulatus,r,7/16/2019,1,2,0.016,l,n,,2.09452
877,KEB_00324,324,melissodes denticulatus,r,7/16/2019,2,1,0.016,r,n,,2.09452
878,KEB_00324,324,melissodes denticulatus,r,7/16/2019,2,2,0.016,r,n,,2.09452
879,KEB_00370,370,melissodes denticulatus,r,7/17/2019,1,1,0.01,l,y,,1.865175
880,KEB_00370,370,melissodes denticulatus,r,7/17/2019,1,2,0.01,l,y,,1.865175
881,KEB_00370,370,melissodes denticulatus,r,7/17/2019,2,1,0.01,r,y,,1.865175
882,KEB_00370,370,melissodes denticulatus,r,7/17/2019,2,2,0.01,r,y,,1.865175
883,KEB_00405,405,melissodes denticulatus,r,7/19/2019,1,1,0.016,l,y,,1.92996
884,KEB_00405,405,melissodes denticulatus,r,7/19/2019,1,2,0.016,l,y,,1.92996
885,KEB_00405,405,melissodes denticulatus,r,7/19/2019,2,1,0.016,r,n,,1.92996
886,KEB_00405,405,melissodes denticulatus,r,7/19/2019,2,2,0.016,r,n,,1.92996
887,KEB_00406,406,melissodes denticulatus,r,7/19/2019,1,1,0.016,l,y,,2.01196
888,KEB_00406,406,melissodes denticulatus,r,7/19/2019,1,2,0.016,l,y,,2.01196
889,KEB_00406,406,melissodes denticulatus,r,7/19/2019,2,1,0.016,r,n,,2.01196
890,KEB_00406,406,melissodes denticulatus,r,7/19/2019,2,2,0.016,r,n,,2.01196
891,KEB_00407,407,melissodes denticulatus,r,7/19/2019,1,1,0.013,l,y,,1.9317675
892,KEB_00407,407,melissodes denticulatus,r,7/19/2019,1,2,0.013,l,y,,1.9317675
893,KEB_00407,407,melissodes denticulatus,r,7/19/2019,2,1,0.013,r,n,,1.9317675
894,KEB_00407,407,melissodes denticulatus,r,7/19/2019,2,2,0.013,r,n,,1.9317675
895,KEB_00448,448,melissodes denticulatus,r,7/23/2019,1,1,0.01,l,n,,2.006975
896,KEB_00448,448,melissodes denticulatus,r,7/23/2019,1,2,0.01,l,n,,2.006975
897,KEB_00448,448,melissodes denticulatus,r,7/23/2019,2,1,0.01,r,y,,2.006975
898,KEB_00448,448,melissodes denticulatus,r,7/23/2019,2,2,0.01,r,y,,2.006975
899,KEB_00512,512,melissodes denticulatus,r,7/25/2019,1,1,0.016,l,n,,1.94088
900,KEB_00512,512,melissodes denticulatus,r,7/25/2019,1,2,0.016,l,n,,1.94088
901,KEB_00512,512,melissodes denticulatus,r,7/25/2019,2,1,0.016,r,y,,1.94088
902,KEB_00512,512,melissodes denticulatus,r,7/25/2019,2,2,0.016,r,y,,1.94088
903,KEB_00530,530,melissodes denticulatus,r,7/25/2019,1,1,0.013,l,y,,1.9548425
904,KEB_00530,530,melissodes denticulatus,r,7/25/2019,1,2,0.013,l,y,,1.9548425
905,KEB_00530,530,melissodes denticulatus,r,7/25/2019,2,1,0.013,r,n,,1.9548425
906,KEB_00530,530,melissodes denticulatus,r,7/25/2019,2,2,0.013,r,n,,1.9548425
907,KEB_00551,551,melissodes trinodis,r,7/26/2019,1,1,0.013,l,n,,1.919125
908,KEB_00551,551,melissodes trinodis,r,7/26/2019,1,2,0.013,l,n,,1.919125
909,KEB_00551,551,melissodes trinodis,r,7/26/2019,2,1,0.013,r,n,,1.919125
910,KEB_00551,551,melissodes trinodis,r,7/26/2019,2,2,0.013,r,n,,1.919125
911,KEB_00569,569,melissodes denticulatus,r,7/26/2019,1,1,0.016,l,y,,2.02992
912,KEB_00569,569,melissodes denticulatus,r,7/26/2019,1,2,0.016,l,y,,2.02992
913,KEB_00569,569,melissodes denticulatus,r,7/26/2019,2,1,0.016,r,y,,2.02992
