final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00698,melissodes bimaculatus,r,8/9/2019,1,1,28690,y,l,2.69876
KEB_00698,melissodes bimaculatus,r,8/9/2019,1,2,28712,y,l,2.69876
KEB_00698,melissodes bimaculatus,r,8/9/2019,2,1,28734,n,r,2.69876
KEB_00698,melissodes bimaculatus,r,8/9/2019,2,2,28756,n,r,2.69876
KEB_00286,melissodes bimaculatus,r,7/15/2019,1,1,40745,n,l,2.455375
KEB_00286,melissodes bimaculatus,r,7/15/2019,1,2,40767,n,l,2.455375
KEB_00286,melissodes bimaculatus,r,7/15/2019,2,1,40789,n,r,2.455375
KEB_00286,melissodes bimaculatus,r,7/15/2019,2,2,40811,n,r,2.455375
KEB_00362,melissodes bimaculatus,r,7/17/2019,1,1,41009,y,l,2.57764
KEB_00362,melissodes bimaculatus,r,7/17/2019,1,2,41031,y,l,2.57764
KEB_00362,melissodes bimaculatus,r,7/17/2019,2,1,41053,n,r,2.57764
KEB_00362,melissodes bimaculatus,r,7/17/2019,2,2,41075,n,r,2.57764
KEB_00497,melissodes bimaculatus,c,7/25/2019,1,1,41537,y,l,2.557425
KEB_00497,melissodes bimaculatus,c,7/25/2019,1,2,41559,y,l,2.557425
KEB_00497,melissodes bimaculatus,c,7/25/2019,2,1,41581,n,r,2.557425
KEB_00497,melissodes bimaculatus,c,7/25/2019,2,2,41603,n,r,2.557425
KEB_00658,melissodes bimaculatus,r,8/9/2019,1,1,41801,y,l,2.605785
KEB_00658,melissodes bimaculatus,r,8/9/2019,1,2,41823,y,l,2.605785
KEB_00658,melissodes bimaculatus,r,8/9/2019,2,1,41845,n,r,2.605785
KEB_00658,melissodes bimaculatus,r,8/9/2019,2,2,41867,n,r,2.605785
KEB_00676,melissodes bimaculatus,r,8/9/2019,1,1,41977,y,l,2.39252
KEB_00676,melissodes bimaculatus,r,8/9/2019,1,2,41999,y,l,2.39252
KEB_00676,melissodes bimaculatus,r,8/9/2019,2,1,42021,n,r,2.39252
KEB_00676,melissodes bimaculatus,r,8/9/2019,2,2,42043,n,r,2.39252
KEB_00699,melissodes bimaculatus,r,8/9/2019,1,1,42241,y,l,2.717585
KEB_00699,melissodes bimaculatus,r,8/9/2019,1,2,42263,y,l,2.717585
KEB_00699,melissodes bimaculatus,r,8/9/2019,2,1,42285,y,r,2.717585
KEB_00699,melissodes bimaculatus,r,8/9/2019,2,2,42307,y,r,2.717585
KEB_00700,melissodes bimaculatus,r,8/9/2019,1,1,42329,n,l,2.47325
KEB_00700,melissodes bimaculatus,r,8/9/2019,1,2,42351,n,l,2.47325
KEB_00700,melissodes bimaculatus,r,8/9/2019,2,1,42373,n,r,2.47325
KEB_00700,melissodes bimaculatus,r,8/9/2019,2,2,42395,n,r,2.47325
KEB_00701,melissodes bimaculatus,r,8/9/2019,1,1,42417,y,l,2.58063
KEB_00701,melissodes bimaculatus,r,8/9/2019,1,2,42439,y,l,2.58063
KEB_00701,melissodes bimaculatus,r,8/9/2019,2,1,42461,n,r,2.58063
KEB_00701,melissodes bimaculatus,r,8/9/2019,2,2,42483,n,r,2.58063
KEB_00702,melissodes bimaculatus,r,8/9/2019,1,1,42505,y,l,2.698475
KEB_00702,melissodes bimaculatus,r,8/9/2019,1,2,42527,y,l,2.698475
KEB_00702,melissodes bimaculatus,r,8/9/2019,2,1,42549,n,r,2.698475
KEB_00702,melissodes bimaculatus,r,8/9/2019,2,2,42571,n,r,2.698475
KEB_00703,melissodes bimaculatus,r,8/9/2019,1,1,42593,n,l,2.75184
KEB_00703,melissodes bimaculatus,r,8/9/2019,1,2,42615,n,l,2.75184
KEB_00703,melissodes bimaculatus,r,8/9/2019,2,1,42637,n,r,2.75184
KEB_00703,melissodes bimaculatus,r,8/9/2019,2,2,42659,n,r,2.75184
KEB_00716,melissodes bimaculatus,r,8/13/2019,1,1,42769,y,l,2.91291
KEB_00716,melissodes bimaculatus,r,8/13/2019,1,2,42791,y,l,2.91291
KEB_00716,melissodes bimaculatus,r,8/13/2019,2,1,42813,n,r,2.91291
KEB_00716,melissodes bimaculatus,r,8/13/2019,2,2,42835,n,r,2.91291
KEB_00755,melissodes bimaculatus,r,8/14/2019,1,1,43297,y,l,2.66357
KEB_00755,melissodes bimaculatus,r,8/14/2019,1,2,43319,y,l,2.66357
KEB_00755,melissodes bimaculatus,r,8/14/2019,2,1,43341,n,r,2.66357
KEB_00755,melissodes bimaculatus,r,8/14/2019,2,2,43363,n,r,2.66357
KEB_00784,melissodes bimaculatus,r,8/15/2019,1,1,43649,y,l,2.587715
KEB_00784,melissodes bimaculatus,r,8/15/2019,1,2,43671,y,l,2.587715
KEB_00784,melissodes bimaculatus,r,8/15/2019,2,1,43693,n,r,2.587715
KEB_00784,melissodes bimaculatus,r,8/15/2019,2,2,43715,n,r,2.587715
KEB_00820,melissodes bimaculatus,r,8/16/2019,1,1,43737,y,l,2.74664
KEB_00820,melissodes bimaculatus,r,8/16/2019,1,2,43759,y,l,2.74664
KEB_00820,melissodes bimaculatus,r,8/16/2019,2,1,43781,n,r,2.74664
KEB_00820,melissodes bimaculatus,r,8/16/2019,2,2,43803,n,r,2.74664
