final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00511,melissodes denticulatus,r,7/25/2019,1,1,29306,y,l,2.0391475
KEB_00511,melissodes denticulatus,r,7/25/2019,1,2,29328,y,l,2.0391475
KEB_00511,melissodes denticulatus,r,7/25/2019,2,1,29350,n,r,2.0391475
KEB_00511,melissodes denticulatus,r,7/25/2019,2,2,29372,n,r,2.0391475
KEB_00136,melissodes denticulatus,c,7/2/2019,1,1,29394,y,l,2.07584
KEB_00136,melissodes denticulatus,c,7/2/2019,1,2,29416,y,l,2.07584
KEB_00136,melissodes denticulatus,c,7/2/2019,2,1,29438,n,r,2.07584
KEB_00136,melissodes denticulatus,c,7/2/2019,2,2,29460,n,r,2.07584
KEB_00155,melissodes denticulatus,r,7/2/2019,1,1,29482,n,l,1.95524
KEB_00155,melissodes denticulatus,r,7/2/2019,1,2,29504,n,l,1.95524
KEB_00155,melissodes denticulatus,r,7/2/2019,2,1,29526,n,r,1.95524
KEB_00155,melissodes denticulatus,r,7/2/2019,2,2,29548,n,r,1.95524
KEB_00199,melissodes denticulatus,r,7/11/2019,1,1,29570,y,l,1.8784675
KEB_00199,melissodes denticulatus,r,7/11/2019,1,2,29592,y,l,1.8784675
KEB_00199,melissodes denticulatus,r,7/11/2019,2,1,29614,n,r,1.8784675
KEB_00199,melissodes denticulatus,r,7/11/2019,2,2,29636,n,r,1.8784675
KEB_00220,melissodes denticulatus,r,7/11/2019,1,1,29658,y,l,1.716475
KEB_00220,melissodes denticulatus,r,7/11/2019,1,2,29680,y,l,1.716475
KEB_00220,melissodes denticulatus,r,7/11/2019,2,1,29702,y,r,1.716475
KEB_00220,melissodes denticulatus,r,7/11/2019,2,2,29724,y,r,1.716475
KEB_00223,melissodes denticulatus,r,7/11/2019,1,1,29746,y,l,1.87516
KEB_00223,melissodes denticulatus,r,7/11/2019,1,2,29768,y,l,1.87516
KEB_00223,melissodes denticulatus,r,7/11/2019,2,1,29790,n,r,1.87516
KEB_00223,melissodes denticulatus,r,7/11/2019,2,2,29812,n,r,1.87516
KEB_00224,melissodes denticulatus,r,7/11/2019,1,1,29834,n,l,1.791925
KEB_00224,melissodes denticulatus,r,7/11/2019,1,2,29856,n,l,1.791925
KEB_00224,melissodes denticulatus,r,7/11/2019,2,1,29878,n,r,1.791925
KEB_00224,melissodes denticulatus,r,7/11/2019,2,2,29900,n,r,1.791925
KEB_00235,melissodes denticulatus,r,7/12/2019,1,1,29922,y,l,2.0258
KEB_00235,melissodes denticulatus,r,7/12/2019,1,2,29944,y,l,2.0258
KEB_00235,melissodes denticulatus,r,7/12/2019,2,1,29966,n,r,2.0258
KEB_00235,melissodes denticulatus,r,7/12/2019,2,2,29988,n,r,2.0258
KEB_00236,melissodes denticulatus,r,7/12/2019,1,1,30010,y,l,2.09807
KEB_00236,melissodes denticulatus,r,7/12/2019,1,2,30032,y,l,2.09807
KEB_00236,melissodes denticulatus,r,7/12/2019,2,1,30054,n,r,2.09807
KEB_00236,melissodes denticulatus,r,7/12/2019,2,2,30076,n,r,2.09807
KEB_00323,melissodes denticulatus,r,7/16/2019,1,1,30098,n,l,2.16502
KEB_00323,melissodes denticulatus,r,7/16/2019,1,2,30120,n,l,2.16502
KEB_00323,melissodes denticulatus,r,7/16/2019,2,1,30142,y,r,2.16502
KEB_00323,melissodes denticulatus,r,7/16/2019,2,2,30164,y,r,2.16502
KEB_00324,melissodes denticulatus,r,7/16/2019,1,1,30186,n,l,2.09452
KEB_00324,melissodes denticulatus,r,7/16/2019,1,2,30208,n,l,2.09452
KEB_00324,melissodes denticulatus,r,7/16/2019,2,1,30230,n,r,2.09452
KEB_00324,melissodes denticulatus,r,7/16/2019,2,2,30252,n,r,2.09452
KEB_00370,melissodes denticulatus,r,7/17/2019,1,1,30274,y,l,1.865175
KEB_00370,melissodes denticulatus,r,7/17/2019,1,2,30296,y,l,1.865175
KEB_00370,melissodes denticulatus,r,7/17/2019,2,1,30318,y,r,1.865175
KEB_00370,melissodes denticulatus,r,7/17/2019,2,2,30340,y,r,1.865175
KEB_00405,melissodes denticulatus,r,7/19/2019,1,1,30362,y,l,1.92996
KEB_00405,melissodes denticulatus,r,7/19/2019,1,2,30384,y,l,1.92996
KEB_00405,melissodes denticulatus,r,7/19/2019,2,1,30406,n,r,1.92996
KEB_00405,melissodes denticulatus,r,7/19/2019,2,2,30428,n,r,1.92996
KEB_00406,melissodes denticulatus,r,7/19/2019,1,1,30450,y,l,2.01196
KEB_00406,melissodes denticulatus,r,7/19/2019,1,2,30472,y,l,2.01196
KEB_00406,melissodes denticulatus,r,7/19/2019,2,1,30494,n,r,2.01196
KEB_00406,melissodes denticulatus,r,7/19/2019,2,2,30516,n,r,2.01196
KEB_00407,melissodes denticulatus,r,7/19/2019,1,1,30538,y,l,1.9317675
KEB_00407,melissodes denticulatus,r,7/19/2019,1,2,30560,y,l,1.9317675
