final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00551,melissodes trinodis,r,7/26/2019,1,1,30890,n,l,1.919125
KEB_00551,melissodes trinodis,r,7/26/2019,1,2,30912,n,l,1.919125
KEB_00551,melissodes trinodis,r,7/26/2019,2,1,30934,n,r,1.919125
KEB_00551,melissodes trinodis,r,7/26/2019,2,2,30956,n,r,1.919125
KEB_00595,melissodes trinodis,r,7/29/2019,1,1,31242,n,l,1.8544
KEB_00595,melissodes trinodis,r,7/29/2019,1,2,31264,n,l,1.8544
KEB_00595,melissodes trinodis,r,7/29/2019,2,1,31286,n,r,1.8544
KEB_00595,melissodes trinodis,r,7/29/2019,2,2,31308,n,r,1.8544
KEB_00722,melissodes trinodis,r,8/13/2019,1,1,31770,n,l,1.94402
KEB_00722,melissodes trinodis,r,8/13/2019,1,2,31792,n,l,1.94402
KEB_00722,melissodes trinodis,r,8/13/2019,2,1,31814,n,r,1.94402
KEB_00722,melissodes trinodis,r,8/13/2019,2,2,31836,n,r,1.94402
KEB_00826,melissodes trinodis,r,8/16/2019,1,1,32209,y,l,1.9382025
KEB_00826,melissodes trinodis,r,8/16/2019,1,2,32231,y,l,1.9382025
KEB_00826,melissodes trinodis,r,8/16/2019,2,1,32253,y,r,1.9382025
KEB_00826,melissodes trinodis,r,8/16/2019,2,2,32275,y,r,1.9382025
KEB_00843,melissodes trinodis,r,8/16/2019,1,1,32297,y,l,1.867325
KEB_00843,melissodes trinodis,r,8/16/2019,1,2,32319,y,l,1.867325
KEB_00843,melissodes trinodis,r,8/16/2019,2,1,32341,n,r,1.867325
KEB_00843,melissodes trinodis,r,8/16/2019,2,2,32363,n,r,1.867325
KEB_00848,melissodes trinodis,r,8/16/2019,1,1,32385,n,l,1.8507
KEB_00848,melissodes trinodis,r,8/16/2019,1,2,32407,n,l,1.8507
KEB_00848,melissodes trinodis,r,8/16/2019,2,1,32429,n,r,1.8507
KEB_00848,melissodes trinodis,r,8/16/2019,2,2,32451,n,r,1.8507
KEB_00885,melissodes trinodis,c,8/30/2019,1,1,32473,n,l,1.98861
KEB_00885,melissodes trinodis,c,8/30/2019,1,2,32495,n,l,1.98861
KEB_00885,melissodes trinodis,c,8/30/2019,2,1,32517,n,r,1.98861
KEB_00885,melissodes trinodis,c,8/30/2019,2,2,32539,n,r,1.98861
KEB_00886,melissodes trinodis,c,8/30/2019,1,1,32561,y,l,1.9072625
KEB_00886,melissodes trinodis,c,8/30/2019,1,2,32583,y,l,1.9072625
KEB_00886,melissodes trinodis,c,8/30/2019,2,1,32605,n,r,1.9072625
KEB_00886,melissodes trinodis,c,8/30/2019,2,2,32627,n,r,1.9072625
KEB_00887,melissodes trinodis,c,8/30/2019,1,1,32649,y,l,2.3582325
KEB_00887,melissodes trinodis,c,8/30/2019,1,2,32671,y,l,2.3582325
KEB_00887,melissodes trinodis,c,8/30/2019,2,1,32693,y,r,2.3582325
KEB_00887,melissodes trinodis,c,8/30/2019,2,2,32715,y,r,2.3582325
KEB_00898,melissodes trinodis,r,8/30/2019,1,1,32737,n,l,1.9703125
KEB_00898,melissodes trinodis,r,8/30/2019,1,2,32759,n,l,1.9703125
KEB_00898,melissodes trinodis,r,8/30/2019,2,1,32781,y,r,1.9703125
KEB_00898,melissodes trinodis,r,8/30/2019,2,2,32803,y,r,1.9703125
KEB_00914,melissodes trinodis,r,8/30/2019,1,1,32825,y,l,2.0137975
KEB_00914,melissodes trinodis,r,8/30/2019,1,2,32847,y,l,2.0137975
KEB_00914,melissodes trinodis,r,8/30/2019,2,1,32869,n,r,2.0137975
KEB_00914,melissodes trinodis,r,8/30/2019,2,2,32891,n,r,2.0137975
KEB_00940,melissodes trinodis,r,9/2/2019,1,1,32913,y,l,2.019485
KEB_00940,melissodes trinodis,r,9/2/2019,1,2,32935,y,l,2.019485
KEB_00940,melissodes trinodis,r,9/2/2019,2,1,32957,n,r,2.019485
KEB_00940,melissodes trinodis,r,9/2/2019,2,2,32979,n,r,2.019485
KEB_00956,melissodes trinodis,r,9/13/2019,1,1,33001,y,l,2.2637225
KEB_00956,melissodes trinodis,r,9/13/2019,1,2,33023,y,l,2.2637225
KEB_00956,melissodes trinodis,r,9/13/2019,2,1,33045,n,r,2.2637225
KEB_00956,melissodes trinodis,r,9/13/2019,2,2,33067,n,r,2.2637225
KEB_00962,melissodes trinodis,r,9/13/2019,1,1,33089,n,l,1.89124
KEB_00962,melissodes trinodis,r,9/13/2019,1,2,33111,n,l,1.89124
KEB_00962,melissodes trinodis,r,9/13/2019,2,1,33133,y,r,1.89124
KEB_00962,melissodes trinodis,r,9/13/2019,2,2,33155,y,r,1.89124
