rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
15,KEB_00149,149,nomia universitalis,r,7/2/2019,1,1,0.0063,l,y,1.7872
16,KEB_00149,149,nomia universitalis,r,7/2/2019,1,2,0.0063,l,y,1.7872
17,KEB_00149,149,nomia universitalis,r,7/2/2019,2,1,0.0063,r,n,1.7872
18,KEB_00149,149,nomia universitalis,r,7/2/2019,2,2,0.0063,r,n,1.7872
19,KEB_00168,168,nomia universitalis,c,7/2/2019,1,1,0.01,l,y,2.022925
20,KEB_00168,168,nomia universitalis,c,7/2/2019,1,2,0.01,l,y,2.022925
21,KEB_00169,169,nomia universitalis,c,7/2/2019,1,1,0.01,l,y,2.061875
22,KEB_00169,169,nomia universitalis,c,7/2/2019,1,2,0.01,l,y,2.061875
23,KEB_00169,169,nomia universitalis,c,7/2/2019,2,1,0.01,r,n,2.061875
24,KEB_00169,169,nomia universitalis,c,7/2/2019,2,2,0.01,r,n,2.061875
25,KEB_00170,170,nomia universitalis,c,7/2/2019,1,1,0.01,l,y,2.2336
26,KEB_00170,170,nomia universitalis,c,7/2/2019,1,2,0.01,l,y,2.2336
27,KEB_00170,170,nomia universitalis,c,7/2/2019,2,1,0.01,r,y,2.2336
28,KEB_00170,170,nomia universitalis,c,7/2/2019,2,2,0.01,r,y,2.2336
29,KEB_00172,172,nomia universitalis,c,7/2/2019,1,1,0.013,l,n,2.2104225
30,KEB_00172,172,nomia universitalis,c,7/2/2019,1,2,0.013,l,n,2.2104225
31,KEB_00172,172,nomia universitalis,c,7/2/2019,2,1,0.013,r,n,2.2104225
32,KEB_00172,172,nomia universitalis,c,7/2/2019,2,2,0.013,r,n,2.2104225
33,KEB_00173,173,nomia universitalis,c,7/2/2019,1,1,0.013,l,y,2.2106175
34,KEB_00173,173,nomia universitalis,c,7/2/2019,1,2,0.013,l,y,2.2106175
35,KEB_00173,173,nomia universitalis,c,7/2/2019,2,1,0.013,r,y,2.2106175
36,KEB_00173,173,nomia universitalis,c,7/2/2019,2,2,0.013,r,y,2.2106175
37,KEB_00174,174,nomia universitalis,c,7/2/2019,1,1,0.016,l,y,2.211
38,KEB_00174,174,nomia universitalis,c,7/2/2019,1,2,0.016,l,y,2.211
39,KEB_00174,174,nomia universitalis,c,7/2/2019,2,1,0.016,r,n,2.211
40,KEB_00174,174,nomia universitalis,c,7/2/2019,2,2,0.016,r,n,2.211
41,KEB_00195,195,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.10105
42,KEB_00195,195,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.10105
43,KEB_00195,195,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.10105
44,KEB_00195,195,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.10105
45,KEB_00196,196,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,1.870125
46,KEB_00196,196,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,1.870125
47,KEB_00196,196,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,1.870125
48,KEB_00196,196,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,1.870125
49,KEB_00197,197,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.1968525
50,KEB_00197,197,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.1968525
51,KEB_00197,197,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.1968525
52,KEB_00197,197,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.1968525
53,KEB_00198,198,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.32492
54,KEB_00198,198,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.32492
55,KEB_00198,198,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.32492
56,KEB_00198,198,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.32492
57,KEB_00200,200,nomia universitalis,r,7/11/2019,1,1,0.0063,l,y,1.7656875
58,KEB_00200,200,nomia universitalis,r,7/11/2019,1,2,0.0063,l,y,1.7656875
59,KEB_00200,200,nomia universitalis,r,7/11/2019,2,1,0.0063,r,y,1.7656875
60,KEB_00200,200,nomia universitalis,r,7/11/2019,2,2,0.0063,r,y,1.7656875
61,KEB_00208,208,nomia universitalis,r,7/11/2019,1,1,0.0063,l,y,1.6280625
62,KEB_00208,208,nomia universitalis,r,7/11/2019,1,2,0.0063,l,y,1.6280625
